Log(N/Ha),Log(O/Hb),Predicted
-0.389115088,-0.3373577,SFG
-0.454192677,-0.643360471,SFG
-0.296846683,-0.37863839,SFG
-0.350386221,-0.564733019,SFG
-0.323708278,0.138772155,SFG
-0.078364806,0.514925715,AGN
-0.540063933,-0.16473547,SFG
-0.358571757,-0.897575158,SFG
-0.489945161,-0.558892208,SFG
-0.410695999,-0.276984798,SFG
-0.037241066,-0.61443873,SFG
-0.32321185,-1.140544927,SFG
-0.490759,-0.746220988,SFG
0.218711491,-0.792293197,SFG
-0.127940139,0.231783315,AGN
-0.243393973,-0.878649697,SFG
-0.585390603,-1.096347642,SFG
-0.598859448,-0.910683656,SFG
-0.134536104,-0.752929262,SFG
-0.21720803,-0.034020766,SFG
-0.41083931,0.440245868,SFG
-0.024000262,0.000427859,AGN
-0.452921289,-0.911602506,SFG
-0.559559823,-0.543179367,SFG
-0.471551367,-0.438773075,SFG
-0.370592492,-0.872678106,SFG
-0.327403281,-0.721343044,SFG
-0.306453535,0.320903685,SFG
-0.557567741,0.000490603,SFG
-0.587922925,-1.369275706,SFG
-0.664135054,0.109513593,SFG
-0.447523949,-1.023506078,SFG
-0.445611833,-0.499132884,SFG
-0.302547442,-0.502783576,SFG
-0.271112005,-1.125881471,SFG
-0.181368432,-0.500639866,SFG
-0.349608677,-0.798776601,SFG
-0.317622949,-0.539305321,SFG
-0.17032848,-0.904806053,SFG
-0.034007291,-0.259608955,SFG
-0.282364579,-0.939507805,SFG
-0.431533327,0.561898282,SFG
-0.384095636,0.051299151,SFG
-0.334252055,0.437523585,AGN
-0.524548211,-0.395443687,SFG
-0.324427284,-0.272966741,SFG
0.060006541,-0.30868383,SFG
-0.375277438,-0.377212188,SFG
-0.558716851,-0.794406775,SFG
-0.392670105,0.28455522,SFG
-0.102230915,-0.754581152,SFG
-0.329244322,-0.063490398,SFG
0.082221987,0.487008942,AGN
-0.461859359,-0.554501758,SFG
-0.338905635,0.538335346,AGN
-0.261672533,0.026323492,SFG
-0.079753873,0.281395808,AGN
-0.007787293,-0.074001939,SFG
-0.713939841,-0.660745743,SFG
-0.634391521,-0.276441095,SFG
-0.484079245,-0.967552774,SFG
-0.470951316,-0.289143226,SFG
-0.199816046,0.243123987,AGN
0.25429714,2.078639742,AGN
-0.01628808,-0.626730384,SFG
