plateifu,log(N/Ha),log(O/Hb),EW(Ha)
10001-12701,-0.560831661,-0.032561326,9.668568134
10001-12704,-0.389115088,-0.3373577,18.1302104
10001-12705,-0.454192677,-0.643360471,12.08104587
10001-1901,-0.296846683,-0.37863839,7.70839572
10001-3702,-0.350386221,-0.564733019,90.59004211
10001-3703,-0.323708278,0.138772155,13.61896586
10001-6102,-0.078364806,0.514925715,48.88847446
10001-9101,-0.540063933,-0.16473547,18.41508675
10141-12701,-0.358571757,-0.897575158,3872.768005
10141-12702,-0.489945161,-0.558892208,31.05068334
10141-12703,-0.410695999,-0.276984798,32.75499511
10141-12704,-0.037241066,-0.61443873,20.93360583
10141-12705,-0.32321185,-1.140544927,11.17187723
10141-9101,-0.490759,-0.746220988,18.50533104
10141-9102,0.218711491,-0.792293197,9.412748337
10142-12701,-0.127940139,0.231783315,141.1631432
10142-12702,-0.243393973,-0.878649697,53.08060074
10142-12703,-0.585390603,-1.096347642,402.4755554
10142-12704,-0.598859448,-0.910683656,23.37222719
10142-12705,-0.134536104,-0.752929262,17.86821818
10142-9101,-0.21720803,-0.034020766,59.78502909
10142-9102,-0.41083931,0.440245868,7.220242023
10143-12701,-0.024000262,0.000427859,89.3913641
10143-12702,-0.452921289,-0.911602506,33.50818014
10143-12703,-0.559559823,-0.543179367,116.4742813
10143-12704,-0.471551367,-0.438773075,113.1237717
10143-12705,-0.370592492,-0.872678106,99.3607682
10143-9101,-0.327403281,-0.721343044,34.92684301
10144-12701,-0.306453535,0.320903685,34.86252308
10144-12702,-0.557567741,0.000490603,48.97634888
10144-12703,-0.587922925,-1.369275706,48.81697083
10144-12704,-0.664135054,0.109513593,69.82546743
10144-12705,-0.447523949,-1.023506078,61.61049779
10145-12701,-0.445611833,-0.499132884,689.0536346
10145-12702,-0.302547442,-0.502783576,32.65068054
10145-12703,-0.271112005,-1.125881471,12.84330241
10145-12704,-0.181368432,-0.500639866,13.66676903
10145-12705,-0.349608677,-0.798776601,58.37672806
10145-9101,-0.317622949,-0.539305321,25.73316193
10145-9102,-0.17032848,-0.904806053,12.35421626
10146-12701,-0.034007291,-0.259608955,61.16772079
10146-12702,-0.282364579,-0.939507805,12.41926257
10146-12703,-0.431533327,0.561898282,19.56825089
10146-12704,-0.384095636,0.051299151,36.42011642
10146-12705,-0.334252055,0.437523585,49.09464391
10146-9102,-0.524548211,-0.395443687,28.39750926
10147-12701,-0.324427284,-0.272966741,109.0420265
10147-12702,0.060006541,-0.30868383,7.290999413
10147-12703,-0.375277438,-0.377212188,83.21434784
10147-12704,-0.558716851,-0.794406775,187.9031576
10147-12705,-0.392670105,0.28455522,6.765631358
10147-9101,-0.102230915,-0.754581152,15.90057898
10147-9102,-0.329244322,-0.063490398,8.396541913
10148-12701,0.082221987,0.487008942,22.26538595
10148-12702,-0.461859359,-0.554501758,60.75208028
10148-12703,-0.338905635,0.538335346,60.62102127
10148-12704,-0.261672533,0.026323492,55.34289805
10148-12705,-0.079753873,0.281395808,16.28926468
10148-9101,-0.007787293,-0.074001939,20.16178656
10148-9102,-0.713939841,-0.660745743,6.269782861
10149-12701,-0.634391521,-0.276441095,416.6418915
10149-12702,-0.484079245,-0.967552774,78.2013677
10149-12703,-0.470951316,-0.289143226,119.2250621
10149-12704,-0.199816046,0.243123987,41.69167455
10149-12705,0.25429714,2.078639742,23.01020559
10149-9101,-0.01628808,-0.626730384,35.76713816
10150-12701,-0.388129016,-0.687005759,198.3654989
10150-12702,-0.434213844,-0.112852815,29.01069387
10150-12703,-0.531100579,-0.445765747,151.757075
10150-12704,-0.374164299,0.041658487,45.74002886
10150-12705,-0.282949677,-0.159335745,60.60301208
10150-9101,-0.063955954,0.380609024,72.5676651
10213-12705,-0.364022938,-0.470948671,24.7701025
10213-1902,-0.452393722,-0.565680426,15.46608901
10213-3703,-0.444448664,-0.16884673,32.40696621
10213-9101,-0.281289378,-0.271892078,23.16591787
10214-12703,0.174797417,0.328423637,6.736116886
10214-1902,-0.121166092,-0.238387952,18.00086021
10214-3701,-0.573683134,-0.826385119,92.164114
10214-3702,0.100889319,0.15839716,6.648541927
10214-6101,-0.6849877,0.144526729,22.04045248
10214-6103,-0.510036919,-0.119025513,8.801813126
10215-12702,-0.514337062,-0.601231199,10.09186029
10215-12703,-0.570257516,0.006083586,21.7072072
10215-12704,-0.104808659,0.271021234,16.61045408
10215-1901,-0.375110036,-0.478022027,12.76073456
10215-1902,-0.034179602,0.27014029,7.275368333
10215-3701,-0.545843229,-0.188369249,27.20065165
10215-3702,-0.184278702,0.040423138,19.75703859
10215-3703,-0.001141661,0.234210963,6.649216056
10215-3704,-0.31163166,-0.490868607,21.47836065
10215-6101,-0.34437437,-0.022836552,41.03704739
10215-6102,-0.66991555,0.157010714,302.4025345
10215-6103,-0.453352017,-0.624688043,57.18999004
10215-6104,-0.414895217,-0.364292389,40.37941837
10220-12701,-0.334006558,-0.336115831,12.86973572
10220-12702,-0.093257961,-0.028037961,14.27024388
