plateifu,Predicted_Class,Actual_Class,Type
12518_9101,S,S,SABc       
9890_12702,S,S,SBb        
8625_3703,S,S,SBab       
8547_12702,S,S,Sc         
10218_12702,S,S,SABc       
8143_1901,S,E,E          
8591_6102,E,E,E          
8461_3703,E,E,E          
8488_6101,S,S,Sa         
8596_6103,S,S,Sdm        
10500_6104,S,S,SABb       
9883_9102,S,S,SABbc      
9496_1901,S,S,Sc         
11755_12704,S,S,Sbc        
11748_12701,S,S,SBb        
8243_9102,S,E,E          
8456_3702,E,E,E          
9001_6102,S,S,Sd         
11020_1902,S,S,S-merger   
9506_12704,S,S,SABb       
8087_9102,S,S,Sbc        
11759_12701,S,S,SBab       
11025_12705,E,E,Edc        
8564_6104,S,S,SBm        
10505_12704,S,S,SABb       
11953_6101,S,S,SABab      
9040_3701,E,E,E          
8133_3704,S,S,Sd         
9862_6101,E,S,Sa         
9490_9101,E,E,E          
12075_3702,E,S,SABab      
10843_3702,S,S,SABab      
8547_3703,S,E,E          
11014_12701,S,S,Sb         
8711_12702,S,S,Sm         
8135_3703,E,E,E          
10842_1901,S,S,Sa         
8725_6104,E,E,E          
12488_6101,S,S,Sa         
9886_1901,S,S,SBa        
9892_6103,S,S,Sab        
11831_12704,S,S,SABc       
10837_12704,S,S,SABcd      
10220_12705,S,S,SABc       
9886_6101,E,E,Edc        
8451_1901,E,E,Edc        
8449_9102,S,S,SABc       
11009_3703,S,S,SABa       
10493_12705,S,S,SABc       
9868_6101,S,S,SBbc       
8481_12702,S,S,Sbc        
10514_12705,S,S,Sb         
7990_3702,S,S,Sbc        
8096_6104,E,E,Edc        
8992_6101,S,S,SBab       
9496_3703,S,S,SBb        
10515_1902,S,S,SABa       
8616_12704,S,S,SABbc      
7979_6102,S,S,Sb         
8483_3704,S,S,Sb         
8459_9102,S,S,Sdm        
11948_12705,E,E,Edc        
8986_12705,S,S,Sc         
9873_9101,S,E,E          
11962_1901,E,E,E          
9491_1902,S,S,Sab        
8341_6103,S,S,Sa         
8589_9102,S,S,Sbc        
11942_6101,S,S,Sa         
10215_12705,S,S,Sbc        
8449_6103,S,S,Sa         
10844_3701,E,E,Edc        
8250_1901,E,E,Edc        
10501_1901,S,S,Sab        
10223_12701,E,E,E          
9186_9102,S,S,Sa         
8462_9101,S,S,Sc         
8085_12702,S,S,SBd        
9035_12701,S,S,SABcd      
8450_1902,S,S,SABa       
9891_3704,E,E,Edc        
8075_3703,S,S,SABdm      
11950_3702,E,E,Edc        
11978_12701,S,S,SABb       
7992_9102,S,S,SBab       
8140_9101,S,S,SABb       
8720_1902,S,S,SBbc       
8144_12703,S,S,SABb       
8084_6101,S,S,SBab       
10519_6102,S,S,Sb         
8333_9101,E,E,Edc        
9042_6102,S,S,Sb         
8981_1902,S,S,Sab        
10499_12705,S,S,SABd       
8611_3702,S,S,SBa        
12495_12701,S,S,Sb         
8723_1901,S,S,SABa       
8606_12705,S,S,SABb       
11978_12705,S,S,SABc       
11010_3701,S,S,Sa         
12769_3703,S,E,Edc        
11980_9102,S,S,Sc         
8597_6102,S,S,SBa        
8341_12702,E,E,E          
11748_3703,S,S,SABa       
10224_12703,S,S,SBc        
10215_6101,S,S,Sb         
11955_6102,E,E,Edc        
8155_12701,S,S,SBb        
11947_9101,E,E,E          
12679_6103,S,S,SBab       
11835_6103,S,S,Sb         
12511_12701,S,S,SABbc      
9870_12703,S,S,SABb       
10501_6103,S,S,SBab       
11977_12704,S,S,Sd         
8096_6102,S,E,Edc        
7990_3704,S,S,SBa        
8592_9101,S,S,SBbc       
8450_3701,E,E,E          
8613_12705,S,E,E          
8952_12702,S,S,Sa         
8097_3702,S,S,Sa         
8716_6103,S,S,Sb         
10518_6104,S,S,SABab      
8088_9102,S,S,SABbc      
9890_9102,E,E,Edc        
9087_3704,S,S,SABab      
8088_12701,S,S,SABc       
8952_6104,S,S,Sc         
9512_6103,S,S,SBab       
8952_12701,S,S,SBb        
8156_3701,S,S,Scd        
9188_12704,S,S,Sbc        
8606_12703,E,E,E          
9043_3703,E,E,Edc        
9873_1901,E,E,E          
8981_12701,E,E,E          
9041_3704,S,S,SBab       
8995_6103,E,E,E          
8546_9101,S,S,Sab        
8546_1901,E,S,SBa        
9874_12703,S,S,SABb       
8722_6101,S,S,Sa         
8481_12704,S,S,Sbc        
8989_3704,S,S,SBcd       
11013_6104,S,S,Sa         
8443_9101,S,S,SABb       
9883_3702,E,E,Edc        
8991_12705,S,S,Sbc        
10215_6104,S,S,Sbc        
8078_3704,S,S,SABc       
12772_9102,S,S,SABab      
10216_12704,S,S,Sa         
11867_3702,S,S,Sa         
12621_9101,S,S,SBab       
12088_12703,S,S,Sc         
11867_12701,S,S,SBcd       
12069_12701,S,S,SABcd      
10496_12701,S,S,Sab        
9094_12703,S,S,Sab        
7968_3701,S,S,SBbc       
12071_9102,S,S,SBm        
12621_12704,E,E,E          
8554_1902,E,E,E          
11951_3704,S,S,Sa         
8615_12701,S,S,SBb        
9037_6102,S,S,SBa        
9494_3702,E,E,E          
9000_6103,S,S,Sc         
9046_1902,E,S,Sa         
8078_1902,S,E,E          
9087_6104,S,S,Sa         
10494_6103,S,S,Sbc        
8252_3702,E,S,SBab       
8248_12704,S,S,Sbc        
8722_12705,S,S,Sc         
8488_1901,E,E,E          
9873_6103,E,S,SABa       
11021_12702,S,S,SBd        
8654_12701,S,S,SABb       
8250_6101,S,S,SBdm       
10223_6101,S,S,SBd        
9878_6101,S,S,SBab       
12082_9102,S,S,Scd        
8564_12705,S,S,SBb        
12066_12705,S,S,Sc         
9038_3704,E,S,SABab      
8651_6101,S,S,Sb         
9185_12703,E,E,Edc        
12700_6103,S,S,Scd        
8723_3703,S,S,SBab       
11867_12704,S,S,S          
11749_3703,S,S,SABa       
8247_12701,S,S,SABd       
10224_6101,S,S,Sbc        
8988_12705,S,S,SABd       
10513_12705,S,S,Sc         
8443_3704,S,S,Sa         
10495_12705,S,S,Sb         
12069_12704,S,S,SBbc       
8595_1902,S,S,SABab      
11004_3701,E,E,E          
10520_12702,S,S,SBab       
9490_3703,E,E,E          
8324_6103,S,S,Scd        
11952_12704,S,S,SABb       
8595_3702,S,S,SABbc      
11834_9101,S,S,SBab       
7960_6101,S,S,SABbc      
8247_6102,S,S,Scd        
10223_6104,S,S,Sb         
11833_6104,S,S,SBab       
12483_6101,S,S,SBa        
8942_12705,S,S,SABbc      
11957_9102,S,S,SBab       
11022_9102,E,E,Edc        
10520_6101,S,S,SBb        
8623_6104,S,S,SABab      
9875_12704,S,S,SBab       
12490_12704,S,S,SBd        
11974_6103,S,S,Scd        
10215_12703,S,S,SABd       
10214_6104,S,S,Sb         
8310_3701,S,S,SBa        
8086_12705,S,S,SABab      
7962_12703,S,S,SBbc       
8248_3704,S,E,Edc        
8080_3704,S,S,Sab        
11021_9102,S,S,Sc         
10514_12702,S,S,SABcd      
8253_12701,S,S,Sbc        
10837_6103,E,E,E          
8553_12705,S,S,SBab       
12071_3703,E,E,Edc        
8245_12701,S,S,Sc         
9485_12705,S,S,SABb       
9194_9102,E,E,E          
12071_9101,S,S,Sc         
9504_12702,S,S,SABcd      
9189_3701,E,S,SBa        
8252_6101,S,S,SBc        
8459_6101,S,S,SBa        
10517_12705,E,E,Edc        
8325_12703,S,S,SBb        
8721_12702,S,S,Sbc        
8566_12704,S,S,SABc       
8622_12702,E,S,S          
8983_3701,E,E,E          
8314_9101,S,S,Sc         
8570_12705,S,S,SABbc      
8459_9101,S,S,Sm         
8710_12703,S,S,Sm         
7977_12702,E,E,Edc        
12679_12701,S,S,Sc         
8157_3701,S,S,SABab      
10226_1901,S,S,Sbc        
11752_6101,E,E,Edc        
11010_12704,S,S,SABc       
8567_12701,S,S,Sc         
8487_12703,S,S,Sc         
10517_6102,S,S,SABab      
9488_3704,E,E,Edc        
9194_3703,E,E,E          
8721_9101,S,S,SBab       
9195_3704,S,S,SABab      
11022_12701,S,S,SABc       
8150_9102,S,S,SABab      
8441_6104,S,S,SABbc      
7960_3704,S,S,SABd       
12700_12703,S,S,Sb         
11863_12702,S,S,SBa        
9893_3703,S,S,SBa        
8158_3704,E,S,Sb         
10500_6103,E,E,Edc        
7443_3701,S,S,SABcd      
11748_12703,S,S,Scd        
10214_3704,E,E,E          
9486_12704,S,S,SBc        
8613_3703,S,S,Sb         
8155_9102,S,S,SABbc      
12679_9101,S,S,S          
11759_9101,S,S,Sc         
9091_12705,S,E,E          
8485_9101,E,E,Edc        
11758_9101,S,S,SABcd      
12620_12703,S,S,Sc         
8947_12702,S,S,SABab      
11951_12703,S,S,Sc         
8155_6104,S,S,SABab      
9863_3701,S,S,Sc         
10493_3701,S,S,Sbc        
8261_3704,E,E,E          
