plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,Classification
10001-12701,40.01057148,43.12569237,46.2532053,168.2571373,9.668568134,SFG
10001-12702,4.152588934,6.406726539,8.001792669,15.58833838,1.429980457,Passive
10001-12703,9.076808691,20.21638584,39.58503246,99.23082733,5.222799778,Unclassified
10001-12704,11.44009852,24.87639618,59.20520973,145.0357323,18.1302104,SFG
10001-12705,11.90956759,52.39097309,82.34702682,234.3368568,12.08104587,SFG
10001-1901,11.78785348,28.18857479,64.0112114,126.7951756,7.70839572,SFG
10001-1902,12.35959117,10.90067609,4.387077173,8.919989586,0.71267873,Passive
10001-3701,2.454540014,3.069607973,3.231330474,3.006621043,0.274224937,Passive
10001-3702,102.8169479,377.3963776,669.5938568,1500.367615,90.59004211,SFG
10001-3703,78.17225838,56.79112911,111.951189,235.9049149,13.61896586,SFG
10001-3704,32.23724556,14.65302432,62.93426323,36.31781483,2.22981149,Passive
10001-6101,5.327970624,7.431020677,11.53818774,8.034838915,0.854942665,Passive
10001-6102,547.4260864,167.2629585,636.7818756,762.7030792,48.88847446,AGN
10001-6103,26.94125652,16.14609647,11.35670042,18.59165692,1.079094991,Passive
10001-6104,46.58654976,15.80745387,79.05558968,54.9634304,3.228222847,Unclassified
10001-9101,58.38530064,85.31767082,87.22965431,302.5018845,18.41508675,SFG
10001-9102,16.28327131,7.33269608,30.47479868,20.00876522,1.115059614,Passive
10141-12701,2056.668335,16245.73706,32477.8584,74158.19336,3872.768005,SFG
10141-12702,4.497021357,16.28610229,11.18893496,34.57274882,31.05068334,SFG
10141-12703,32.36386353,61.24140686,101.7100692,261.854444,32.75499511,SFG
10141-12704,1.738270203,7.154116631,9.639959335,10.5030702,20.93360583,SFG
10141-12705,1.122804046,15.51846981,14.78370889,31.1168232,11.17187723,SFG
10141-9101,5.798484008,32.32477061,43.24565506,133.8756154,18.50533104,SFG
10141-9102,-0.906670113,-5.620079994,10.12958177,6.121812503,9.412748337,AGN
10142-12701,28.18976259,16.53134173,72.60377932,97.47637439,141.1631432,AGN
10142-12702,-2.27775526,17.22490184,20.7201074,36.28991699,53.08060074,SFG
10142-12703,35.13812065,438.6581192,436.4850159,1680.195984,402.4755554,SFG
10142-12704,2.125003889,17.29989174,27.94474861,110.9582644,23.37222719,SFG
10142-12705,1.965059215,11.12512511,11.09585916,15.12505767,17.86821818,SFG
10142-9101,2.751209339,2.975393454,37.58224233,61.97131602,59.78502909,SFG
10142-9102,-5.230477925,1.974190712,3.924556836,10.0523175,5.572193384,Unclassified
10143-12701,16.76768592,16.75117484,47.39331836,50.08611888,89.3913641,AGN
10143-12702,-2.642916054,21.5618428,15.58091402,44.20935917,33.50818014,SFG
10143-12703,15.98465983,55.83194606,48.93887456,177.5063121,116.4742813,SFG
10143-12704,9.896091779,27.17920748,11.95728811,35.41474024,113.1237717,SFG
10143-12705,-1.070398845,7.984059006,19.80160332,46.48286068,99.3607682,SFG
10143-9101,3.814035257,20.07833735,63.1880366,134.2882894,34.92684301,SFG
10143-9102,2.007943267,5.062909413,7.637400314,7.62893904,2.012337394,Passive
10144-12701,22.75489393,10.86853805,40.68902797,82.40069032,34.86252308,SFG
10144-12702,30.58693186,30.55239868,39.33323034,142.0127563,48.97634888,SFG
10144-12703,2.411878268,56.44572957,66.73458099,258.3889058,48.81697083,SFG
10144-12704,-14.53667514,11.2966973,9.674728076,44.64510218,69.82546743,SFG
10144-12705,8.172415257,86.2693456,107.3903732,300.9465027,61.61049779,SFG
10144-9101,-4.954163233,-3.834531069,13.66466268,9.947621346,1.48786811,Passive
10144-9102,-4.509028172,-5.150719136,5.723386914,4.243366875,1.158834435,Passive
10145-12701,20.18867169,63.71484482,127.7039726,356.3003426,689.0536346,SFG
10145-12702,-7.516418616,23.92183749,31.35790698,62.93532944,32.65068054,SFG
10145-12703,-0.998067935,13.33649095,33.80726115,63.11346054,12.84330241,SFG
10145-12704,2.958387295,9.369035721,24.40689659,37.05791601,13.66676903,SFG
10145-12705,18.20131874,114.5195033,182.5360819,408.2793376,58.37672806,SFG
10145-9101,3.912006382,13.62639399,13.016931,27.11069542,19.94312912,SFG
10145-9102,2.059787296,15.89501421,4.960357875,7.41171968,9.576506019,SFG
10146-12701,32.38999812,58.8870608,239.3711446,258.8684285,61.16772079,SFG
10146-12702,2.272516569,19.77037303,45.01004664,86.23310852,12.41926257,SFG
10146-12703,6.865050346,1.882545337,18.79711884,50.77204013,19.56825089,AGN
10146-12704,3.907694181,3.472333392,24.86868477,60.22106806,36.42011642,SFG
10146-12705,23.36952527,8.533482552,15.62020461,33.72397614,49.09464391,AGN
10146-9101,0.739174068,6.053913434,10.50426928,16.71144454,2.361412287,Passive
10146-9102,6.205864271,15.42573833,25.82442983,86.41297404,28.39750926,SFG
10147-12701,31.3726877,58.81911254,110.8831053,234.0413876,109.0420265,SFG
10147-12702,-4.870672703,9.914544741,18.32857895,15.96328449,7.290999413,SFG
10147-12703,-7.86695528,18.75075976,21.9861997,52.17081324,83.21434784,SFG
10147-12704,5.440775553,33.88968913,60.36685054,218.5321655,187.9031576,SFG
10147-12705,-5.201417923,-2.701260885,9.863532702,24.36141968,6.765631358,SFG
