plateifu,gz2_class
10001-12701,Ec
10001-12702,Ei
10001-12703,Sen
10001-12704,Sen
10001-12705,Sc?t
10001-1902,Er
10001-3701,Er
10001-3702,Er
10001-3703,Ec
10001-3704,Er
10001-6101,Er
10001-6102,SBc2m
10001-6103,SBc?m(r)
10001-6104,Ei
10001-9101,SBd2l(i)
10001-9102,Sb+t
10213-12701,Er
10213-12702,Ei
10213-12704,Er
10213-12705,SBc2l
10213-1901,Ei
10213-1902,Sc3t
10213-3701,Er
10213-3702,Ei
10213-3703,Sc(r)
10213-3704,Er
10213-6101,Er
10213-6102,Ec
10213-6103,Sb?t(r)
10213-6104,Ei
10213-9101,Sb2m
10214-12701,Ser
10214-12703,Sb(r)
10214-12704,Ei
10214-1901,Sb3m
10214-1902,Er
10214-3702,Ei
10214-3703,Er(r)
10214-3704,Er
10214-6101,Ei
10214-6102,Er
10214-6103,Sc3m
10214-6104,Sc1t
10214-9101,Er
10214-9102,Sc?t(r)
10215-12701,Ser
10215-12702,Sc?t
10215-12703,SBc?t
10215-12704,Sb
10215-12705,Sc+m
10215-1901,Er
10215-1902,Ei
10215-3701,Ei
10215-3703,Ec
10215-3704,SBb?t
10215-6101,Sen(o)
10215-6103,Ei
10215-6104,Sc?t
10215-9101,Ec
10215-9102,Ser
10216-12701,Sc1m(i)
10216-12702,Ser
10216-12703,Sc3m
10216-12704,Ei
10216-12705,Ser(i)
10216-1901,Ei
10216-1902,Ei(m)
10216-3701,Ei
10216-3702,Er
10216-3703,Ei
10216-3704,Ec
10216-6101,SBb2m
10216-6102,SBc?t
10216-6103,SBc2m
10216-6104,Sen
10216-9101,Er
10216-9102,SBb?t
10217-12701,Sc3m(d)
10217-12702,Sen
10217-12704,Sb2t(r)
10217-12705,Sc2m(r)
10217-1901,Er
10217-1902,Ei
10217-3701,Sb(r)
10217-3703,Er
10217-3704,Sb2m
10217-6101,Er
10217-6103,SBc2m
10217-6104,Er
10217-9102,Sd1m(i)
10218-12701,Sc2m
10218-12702,Sc?t
10218-12703,SBb2l(m)
10218-12704,Sd(i)
10218-12705,SBc?t
10218-1901,Ei
10218-1902,Ei
10218-3701,Sc2t(r)
10218-3702,Ei
10218-3703,Sb2m
10218-3704,Sb2m
10218-6101,Er
10218-6102,Ei
10218-6103,Sc2t
10218-6104,SBc
10218-9101,Sd1l(i)
10218-9102,Ei(o)
10219-12701,Sc?t
10219-12705,Ec
10219-1901,Ei
10219-3701,Ec
10219-3702,Ec
10219-3703,Ei
10219-3704,Er
10219-6101,Ei
10219-6102,Ei
10219-6103,Ser
10219-6104,Sc?t
10219-9101,Sc2t
10220-12701,Ser
10220-12702,Sen
10220-12703,Sc(o)
10220-12704,Ei
10220-12705,Sc4m
10220-1901,Ei
10220-1902,Ei
10220-3701,Ei
10220-3702,Er
10220-3703,Ei
10220-3704,Er
10220-6101,Er
10220-6102,Er
10220-6104,Ser
10220-9101,SBb3t
10220-9102,Sd
10221-12701,Ser
10221-12703,Sd(i)
10221-12705,SBc2l
10221-1902,Ei
10221-3701,Ec
10221-3702,Er
10221-3703,Er
10221-3704,Ei
10221-6101,Ei(m)
10221-6102,SBc2t
10221-6103,Sb1m(r)
10221-6104,SBc2m
10221-9101,Sc?t
10223-12702,SBc?l(i)
10223-12703,Sc?t
10223-12705,Sc3m
10223-1901,Ei
10223-1902,Ei
10223-3701,Sb?m(r)
10223-3702,Er
10223-3703,Sb2m(r)
10223-3704,Er
10223-6101,Ec
10223-6102,Er
10223-6103,Er
10223-6104,Ser
10223-9101,Er
10223-9102,Ser
10224-12701,Sd(i)
10224-12703,Sc?t
10224-12704,Sc?t
10224-1901,Ei
10224-3701,Er
10224-3702,Sb3l
10224-3703,Ei
10224-6101,Sc?m
10224-6102,Ei
10224-6103,Sc?t
10224-6104,Sen(o)
10224-9101,Sc3t
10224-9102,Ec
10225-12701,Sc?m
10225-12703,SBc?m
10225-12704,Sb(r)
10225-12705,Sb(o)
10225-3701,Er
10225-3704,Sc3t
10225-6101,Ec
10225-6102,Sd(i)
10225-6104,Er
10225-9101,SBb2t
10226-12701,Ei
10226-12702,Ei
10226-12703,Ei
10226-12704,Sb?t
10226-12705,Sc?t
10226-1901,Ser
10226-1902,Ei(i)
10226-3702,Ei(i)
10226-3703,Ser
10226-3704,SBb2t
10226-6102,Sc3t
10226-6103,Er
10226-6104,SBb2m
10226-9101,Sb4m
10226-9102,Sb?t
10492-12701,SBc2t
10492-12702,SBb2m
10492-12704,Sc?t
10492-1902,Sb(r)
10492-3701,Ei
10492-3703,Ec
10492-3704,Ec
10492-6101,Ec
10492-6102,Sb2m
10492-6103,Sb
10492-6104,Er
10492-9102,Sb2l(r)
10493-12701,SBc2m
10493-12702,Sen
10493-12703,Ec(i)
10493-12705,SBc2l(i)
10493-1901,Er
10493-1902,Ei
10493-3701,Sc3m
10493-3703,Er
10493-3704,Ei
10493-6101,SBc?t
10493-6102,Er
10493-6103,Sc(l)
10493-6104,Sc?m
10493-9102,Sc2m
10494-12702,Er
10494-12704,Sb(m)
10494-12705,Sc+t
10494-1902,Ei
10494-3701,Sb2m
10494-3703,Ei
10494-3704,Sc2t
10494-6102,Ei
10494-6103,Sc?t
10494-6104,Er
10494-9101,Sb?t
10494-9102,SBc2t
10495-12701,Sc?t
10495-12702,SBb4m(m)
10495-12704,Sc2m
10495-12705,Sc?t
10495-1901,Sc2t
10495-1902,Ei
10495-3701,Er
10495-3702,Sc4m
10495-3703,Ei
10495-6102,Sb?m
10495-6103,Ei
10495-6104,Er
10495-9101,SBc+m
10495-9102,Sc
10496-12701,Ser
10496-12702,SBb4t
10496-12703,Sen(i)
10496-12704,SBc2l(d)
10496-12705,Sc?t
10496-1901,SBb2m(r)
10496-1902,SBb?t
10496-3701,Sb
10496-3703,Ei
10496-3704,Ei
10496-6101,Ser
10496-6102,SBd2m
10496-6103,Ei
10496-6104,Ei
10496-9101,Ei
10496-9102,Sc
10497-12702,Ei
10497-12703,Sc2m
10497-12704,Ei
10497-12705,Sc?t
10497-1901,Ei
10497-1902,Er
10497-3701,Ei
10497-3702,Ser
10497-3703,Er
10497-3704,Ec
10497-6101,Sb?m
10497-6102,Sb1m
10497-6103,Ec
10497-6104,Ei
10497-9101,Ei
10498-12702,SBc4l(i)
10498-12703,Sb(m)
10498-12704,Sc?t
10498-1902,SBb
10498-3701,Sc?t
10498-3702,Sc
10498-3703,Ei
10498-3704,Sc?t
10498-6102,Ei
10498-6103,Sb(o)
10498-6104,SBb2m
10498-9101,SBc3t
10498-9102,Er
10499-12701,SBc2l(o)
10499-12702,Ei
10499-12703,Er
10499-12704,SBc?l
10499-12705,SBc2l(i)
10499-1902,Sc2t
10499-3701,Ei
10499-3702,SBc2m
10499-3704,Sen
10499-6101,Ei(o)
10499-6102,Ei
10499-6103,Sc1t
10499-9101,Er
10499-9102,Ser
10500-12701,Ser
10500-12702,Sc?m(r)
10500-12703,Ser
10500-12704,SBb2m(r)
10500-12705,Er
10500-1901,Sc+t
10500-1902,Ei
10500-3702,SBb2m
10500-3703,Er
10500-3704,Er
10500-6101,Ec
10500-6102,Ei
10500-6104,Sb3t
10500-9101,Ei
10501-12701,SBb3t
10501-12702,Sc?m
10501-12704,Sc4t
10501-1901,Ec
10501-1902,SBb2m(r)
10501-3701,Er
10501-3702,Er
10501-3703,Sc2t
10501-3704,Ei
10501-6101,Sc3t
10501-6102,SBc2t
10501-6103,Ser
10501-6104,Er
10501-9101,Er(m)
10502-12701,Ec
10502-12702,Er(o)
10502-12703,Ser
10502-12704,Ser
10502-12705,SBb?t
10502-1901,Sa(o)
10502-1902,Ei
10502-3701,Er
10502-3702,Ei
10502-3703,Ei(o)
10502-3704,Ei
10502-6101,Er
10502-6102,Er
10502-6103,Sb2t
10502-6104,Ec
10502-9101,Er
10502-9102,Sc?t(m)
10503-12701,SBc2m
10503-12702,Sc?t
10503-12704,Sen
10503-12705,Ei(r)
10503-1901,Ec
10503-1902,Sb(r)
10503-3701,Ei
10503-6101,Ei
10503-6102,Ec
10503-6103,Ei
10503-6104,Er
10503-9101,Sb(m)
10503-9102,Sc?t
10504-12701,Ei
10504-12702,Ei
10504-12703,Ei
10504-12704,Sc?t
10504-12705,Er
10504-1901,Ei
10504-1902,Ei
10504-3701,Ei
10504-3702,Ei
10504-3703,Ser
10504-3704,Ei
10504-6101,Ec
10504-6102,Ei
10504-6103,Ei
10504-6104,Sc?t
10504-9101,Ei
10504-9102,Sc(r)
10505-12701,SBc2m
10505-12702,Ec
10505-12703,Sc3t
10505-12704,Sc4m
10505-12705,Ei
10505-1901,Ei
10505-3701,Ei
10505-3702,Ei
10505-3703,Ei
10505-6103,Ei
10505-6104,Ei
10505-9101,Sc?t
10505-9102,Er
10506-12702,Sc(r)
10506-12703,Sc?t
10506-12704,Ec
10506-12705,Ei
10506-1901,Er
10506-1902,Ec
10506-3701,Ei
10506-3702,Er
