plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,log(N/Ha),log(O/Hb),KL log(O/Hb)
10001-12701,40.01057148,43.12569237,46.2532053,168.2571373,9.668568134,-0.560831661,-0.032561326,0.598244796
10001-12702,4.152588934,6.406726539,8.001792669,15.58833838,1.429980457,-0.28961253,-0.188317245,0.386959008
10001-12703,9.076808691,20.21638584,39.58503246,99.23082733,5.222799778,-0.399115607,-0.347770336,0.4881371
10001-12704,11.44009852,24.87639618,59.20520973,145.0357323,18.1302104,-0.389115088,-0.3373577,0.479967074
10001-12705,11.90956759,52.39097309,82.34702682,234.3368568,12.08104587,-0.454192677,-0.643360471,0.529964474
10001-1901,11.78785348,28.18857479,64.0112114,126.7951756,7.70839572,-0.296846683,-0.37863839,0.394534605
10001-1902,12.35959117,10.90067609,4.387077173,8.919989586,0.71267873,-0.308189073,0.05455067,0.406128803
10001-3701,2.454540014,3.069607973,3.231330474,3.006621043,0.274224937,0.031302684,-0.097112798,-0.200480355
10001-3702,102.8169479,377.3963776,669.5938568,1500.367615,90.59004211,-0.350386221,-0.564733019,0.446447775
10001-3703,78.17225838,56.79112911,111.951189,235.9049149,13.61896586,-0.323708278,0.138772155,0.421455666
10001-3704,32.23724556,14.65302432,62.93426323,36.31781483,2.22981149,0.238767442,0.342430657,-1.448036815
10001-6101,5.327970624,7.431020677,11.53818774,8.034838915,0.854942665,0.157160427,-0.144486648,-0.759881193
10001-6102,547.4260864,167.2629585,636.7818756,762.7030792,48.88847446,-0.078364806,0.514925715,0.077601842
10001-6103,26.94125652,16.14609647,11.35670042,18.59165692,1.079094991,-0.214065927,0.222350304,0.298273083
10001-6104,46.58654976,15.80745387,79.05558968,54.9634304,3.228222847,0.157858752,0.469398624,-0.764243485
10001-9101,58.38530064,85.31767082,87.22965431,302.5018845,18.41508675,-0.540063933,-0.16473547,0.586077832
10001-9102,16.28327131,7.33269608,30.47479868,20.00876522,1.115059614,0.182720557,0.346477974,-0.933368082
10141-12701,2056.668335,16245.73706,32477.8584,74158.19336,3872.768005,-0.358571757,-0.897575158,0.453793395
10141-12702,4.497021357,16.28610229,11.18893496,34.57274882,31.05068334,-0.489945161,-0.558892208,0.554547034
10141-12703,32.36386353,61.24140686,101.7100692,261.854444,32.75499511,-0.410695999,-0.276984798,0.497365992
10141-12704,1.738270203,7.154116631,9.639959335,10.5030702,20.93360583,-0.037241066,-0.61443873,-0.012584019
10141-12705,1.122804046,15.51846981,14.78370889,31.1168232,11.17187723,-0.32321185,-1.140544927,0.420974676
10141-9101,5.798484008,32.32477061,43.24565506,133.8756154,18.50533104,-0.490759,-0.746220988,0.555085313
10141-9102,-0.906670113,-5.620079994,10.12958177,6.121812503,9.412748337,0.218711491,-0.792293197,-1.237488632
10142-12701,28.18976259,16.53134173,72.60377932,97.47637439,141.1631432,-0.127940139,0.231783315,0.16983099
10142-12702,-2.27775526,17.22490184,20.7201074,36.28991699,53.08060074,-0.243393973,-0.878649697,0.334932501
10142-12703,35.13812065,438.6581192,436.4850159,1680.195984,402.4755554,-0.585390603,-1.096347642,0.612014941
10142-12704,2.125003889,17.29989174,27.94474861,110.9582644,23.37222719,-0.598859448,-0.910683656,0.61929821
10142-12705,1.965059215,11.12512511,11.09585916,15.12505767,17.86821818,-0.134536104,-0.752929262,0.180961836
10142-9101,2.751209339,2.975393454,37.58224233,61.97131602,59.78502909,-0.21720803,-0.034020766,0.302350303
10142-9102,-5.230477925,1.974190712,3.924556836,10.0523175,5.572193384,-0.408475574,0.423152269,0.495615298
10143-12701,16.76768592,16.75117484,47.39331836,50.08611888,89.3913641,-0.024000262,0.000427859,-0.044817159
