Name,plateifu,MANGAID,objra,objdec,Type,TType,Unsure,Bars,Edge_on,Tidal,C,E_C,A,E_A,S,E_S,cas_flag
manga-10001-12701,10001-12701,1-48157  ,133.371090612,57.5984251446,Sbc        ,4,0,0.0,1,0,2.419,0.26,0.191,0.012,0.26,0.2555,1
manga-10001-12702,10001-12702,1-48188  ,133.685669869,57.4802503218,SABbc      ,4,0,0.5,0,0,2.882,0.195,0.094,0.046,0.01,0.1085,1
manga-10001-12703,10001-12703,1-55648  ,136.017159969,57.0923291779,SABbc      ,4,0,0.5,1,0,3.249,0.261,0.135,0.013,0.43,0.334,1
manga-10001-12704,10001-12704,1-55616  ,133.989966869,57.6779676669,Sd         ,7,0,0.0,1,0,3.38,0.11,0.212,0.005,0.85,0.1105,0
manga-10001-12705,10001-12705,1-55784  ,136.75137451,57.4514369241,Sbc        ,4,0,0.0,0,0,2.883,0.246,0.152,0.009,0.15,0.1835,1
manga-10001-1901 ,10001-1901 ,1-55567  ,133.330028009,57.0411553708,Sbc        ,4,0,0.0,0,0,2.709,0.47,0.14,0.007,0.18,0.1805,1
manga-10001-1902 ,10001-1902 ,1-48201  ,134.193923352,56.7867469988,SB0        ,-2,0,1.0,0,0,3.964,0.344,0.1,0.004,-0.01,0.0255,1
manga-10001-3701 ,10001-3701 ,1-48111  ,132.465646765,57.1437279024,SAB0       ,-2,0,0.5,0,0,2.853,0.582,0.05,0.003,0.27,0.14,1
manga-10001-3702 ,10001-3702 ,1-48136  ,132.912768243,57.1074235568,E          ,-5,0,0.0,0,0,4.31,0.319,0.112,0.005,0.26,0.141,1
manga-10001-3703 ,10001-3703 ,1-55612  ,134.591498946,57.6849653262,SABb       ,3,0,0.25,0,0,2.953,0.466,0.066,0.006,0.17,0.1585,1
manga-10001-3704 ,10001-3704 ,1-48223  ,134.910466734,56.8788941639,E          ,-5,0,0.0,0,0,3.729,0.327,0.039,0.003,0.19,0.1055,1
manga-10001-6101 ,10001-6101 ,1-55683  ,137.041133755,57.4236117812,Edc        ,-5,0,0.0,0,0,3.548,0.361,-0.014,0.015,0.06,0.1045,0
manga-10001-6102 ,10001-6102 ,1-48116  ,132.653991697,57.3596675436,SBab       ,2,0,1.0,0,0,3.558,0.246,0.13,0.543,0.24,0.1255,1
