plateifu,MANGAID,Type,TType,Unsure
10001-12701,1-48157  ,Sbc        ,4,0
10001-12702,1-48188  ,SABbc      ,4,0
10001-12703,1-55648  ,SABbc      ,4,0
10001-12704,1-55616  ,Sd         ,7,0
10001-12705,1-55784  ,Sbc        ,4,0
10001-1901 ,1-55567  ,Sbc        ,4,0
10001-1902 ,1-48201  ,SB0        ,-2,0
10001-3701 ,1-48111  ,SAB0       ,-2,0
10001-3702 ,1-48136  ,E          ,-5,0
10001-3703 ,1-55612  ,SABb       ,3,0
10001-3704 ,1-48223  ,E          ,-5,0
10001-6101 ,1-55683  ,Edc        ,-5,0
10001-6102 ,1-48116  ,SBab       ,2,0
10001-6103 ,1-48208  ,SB0a       ,0,0
10001-6104 ,1-55529  ,SABb       ,3,0
10001-9101 ,1-48189  ,SBd        ,7,0
10001-9102 ,1-55552  ,S0         ,-2,0
10213-12701,1-72673  ,Edc        ,-5,0
10213-12703,1-44990  ,Sd         ,7,0
10213-12704,1-72607  ,Edc        ,-5,0
10213-12705,1-72456  ,SBbc       ,4,0
10213-1901 ,1-72595  ,S0a        ,0,0
10213-1902 ,1-122611 ,Sc         ,5,0
10213-3701 ,1-72733  ,S0         ,-2,0
10213-3702 ,1-44971  ,S0         ,-2,0
10213-3703 ,1-72755  ,Sc         ,5,0
10213-3704 ,1-72719  ,E          ,-5,0
10213-6101 ,1-44590  ,SB0        ,-2,0
10213-6102 ,1-72572  ,Sa         ,1,0
10213-6103 ,1-44581  ,Sab        ,2,0
10213-6104 ,1-72562  ,S0         ,-2,0
10213-9101 ,1-44999  ,Sbc        ,4,0
10213-9102 ,1-72706  ,Sbc        ,4,0
10214-12701,1-604985 ,Sbc        ,4,0
10214-12702,1-548430 ,E          ,-5,0
10214-12703,1-153608 ,SBab       ,2,0
10214-12704,1-605051 ,S0         ,-2,0
10214-12705,1-548428 ,S0         ,-2,0
10214-1901 ,1-153518 ,Sb         ,3,0
10214-1902 ,1-153402 ,S0         ,-2,0
10214-3702 ,1-153317 ,S0a        ,0,0
10214-3703 ,1-153696 ,E          ,-5,0
10214-3704 ,1-136508 ,E          ,-5,0
10214-6101 ,1-153412 ,SABb       ,3,0
10214-6102 ,1-136426 ,E          ,-5,0
10214-6103 ,1-153360 ,SABcd      ,6,0
10214-6104 ,1-153723 ,Sb         ,3,0
10214-9101 ,1-153357 ,Edc        ,-5,0
10214-9102 ,1-153556 ,SABab      ,2,0
10215-12701,1-122111 ,Sb         ,3,0
10215-12702,1-121959 ,Sc         ,5,0
10215-12703,1-121923 ,SABd       ,7,0
10215-12704,1-605093 ,S0a        ,0,0
10215-12705,1-153693 ,Sbc        ,4,0
10215-1901 ,1-122310 ,S0a        ,0,0
10215-3702 ,1-548639 ,Sab        ,2,0
10215-3703 ,1-122138 ,SABab      ,2,0
10215-3704 ,1-153589 ,SB0a       ,0,0
10215-6101 ,1-153713 ,Sb         ,3,0
10215-6102 ,1-153635 ,S          ,11,0
10215-6104 ,1-153942 ,Sbc        ,4,0
10215-9102 ,1-153613 ,Sbc        ,4,0
10216-12701,1-382678 ,SABbc      ,4,0
10216-12702,1-412128 ,Sbc        ,4,0
10216-12703,1-382689 ,SABbc      ,4,0
10216-12704,1-382452 ,Sa         ,1,0
10216-12705,1-382588 ,Sc         ,5,0
10216-1901 ,1-297909 ,SABa       ,1,0
10216-3701 ,1-382352 ,S0a        ,0,0
10216-3702 ,1-297905 ,SBa        ,1,0
10216-3704 ,1-382355 ,S0a        ,0,0
10216-6101 ,1-412105 ,SBab       ,2,0
10216-6102 ,1-297871 ,SBab       ,2,0
10216-6103 ,1-297986 ,SABab      ,2,0
10216-6104 ,1-297854 ,Sbc        ,4,0
10216-9101 ,1-297956 ,Edc        ,-5,0
10216-9102 ,1-297970 ,SBab       ,2,0
10217-12701,1-382566 ,Sc         ,5,0
10217-12702,1-411980 ,Sbc        ,4,0
10217-12703,59-80    ,Scd        ,6,0
10217-12704,31-115   ,Sab        ,2,0
10217-12705,1-459018 ,SBbc       ,4,0
10217-1901 ,1-458692 ,SBab       ,2,0
10217-1902 ,1-458676 ,SAB0a      ,0,0
10217-3701 ,1-459044 ,Sa         ,1,0
10217-3702 ,1-556959 ,S0         ,-2,0
10217-3703 ,1-458727 ,SBab       ,2,0
10217-3704 ,1-458682 ,SBab       ,2,0
10217-6101 ,1-412045 ,E          ,-5,0
10217-6102 ,1-412043 ,Sa         ,1,0
10217-6103 ,1-412058 ,SBab       ,2,0
10217-6104 ,1-458738 ,Edc        ,-5,0
10217-9102 ,1-604885 ,SBdm       ,8,0
10218-12701,1-412119 ,SABab      ,2,0
10218-12702,1-604851 ,SABc       ,5,0
10218-12703,1-382273 ,SABb       ,3,0
10218-12704,1-584678 ,SABdm      ,8,0
10218-12705,1-604875 ,SBc        ,5,0
10218-1901 ,1-382318 ,S0         ,-2,0
10218-1902 ,1-382697 ,S0         ,-2,0
10218-3701 ,1-382312 ,SBbc       ,4,0
10218-3702 ,1-382284 ,Sa         ,1,0
10218-3703 ,1-383171 ,SABab      ,2,0
10218-3704 ,1-412176 ,SABab      ,2,0
10218-6101 ,1-382557 ,Edc        ,-5,0
10218-6102 ,1-382696 ,S0a        ,0,0
10218-6103 ,1-382473 ,Sbc        ,4,0
10218-6104 ,1-383177 ,Sa         ,1,0
10218-9101 ,1-412131 ,Sd         ,7,0
10219-12701,1-384262 ,SABc       ,5,0
10219-12702,1-556820 ,SABbc      ,4,0
10219-12703,1-556776 ,SABab      ,2,0
10219-12704,1-383825 ,Sc         ,5,0
10219-12705,1-605208 ,Sc         ,5,0
10219-1902 ,1-384222 ,Edc        ,-5,0
10219-3701 ,1-384167 ,Sa         ,1,0
10219-3702 ,1-384250 ,S0         ,-2,0
10219-3704 ,1-384149 ,E          ,-5,0
10219-6102 ,1-384194 ,S0         ,-2,0
10219-6103 ,1-384306 ,Sbc        ,4,0
10219-6104 ,1-605180 ,SABbc      ,4,0
10219-9102 ,1-605181 ,Sc         ,5,0
10220-12701,1-153155 ,Sc         ,5,0
10220-12702,1-153142 ,Sbc        ,4,0
10220-12703,1-153151 ,SABcd      ,6,0
10220-12705,1-201934 ,SABc       ,5,0
10220-3701 ,1-201961 ,S0a        ,0,0
10220-3702 ,1-201956 ,S0a        ,0,0
10220-3703 ,1-201936 ,Sa         ,1,0
10220-3704 ,1-201970 ,E          ,-5,0
10220-6101 ,1-146543 ,Edc        ,-5,0
10220-6102 ,1-201919 ,Sa         ,1,0
10220-6103 ,1-604951 ,SABab      ,2,0
10220-6104 ,1-202008 ,Sab        ,2,0
10220-9101 ,1-201969 ,SBab       ,2,0
10221-12701,1-229777 ,Sbc        ,4,0
10221-12702,1-298600 ,Scd        ,6,0
10221-12703,1-230023 ,SABd       ,7,0
10221-12705,1-298555 ,Scd        ,6,0
10221-1901 ,59-57    ,SABb       ,3,0
10221-3701 ,1-298596 ,SABa       ,1,0
10221-3702 ,1-229965 ,E          ,-5,0
10221-3703 ,1-229966 ,E          ,-5,0
10221-6101 ,1-229977 ,SBd        ,7,0
10221-6102 ,1-298623 ,Sab        ,2,0
10221-6103 ,1-230090 ,Sb         ,3,0
10221-6104 ,1-298693 ,SBab       ,2,0
10221-9101 ,1-229796 ,Sbc        ,4,0
10221-9102 ,1-584862 ,S          ,11,0
10222-12701,1-50542  ,Sa         ,1,0
10222-12702,1-50480  ,SABbc      ,4,0
10222-12703,1-50666  ,Sb         ,3,0
10222-12704,1-50607  ,SBbc       ,4,0
10222-12705,1-50801  ,SABc       ,5,0
10222-1901 ,1-50814  ,E          ,-5,0
10222-1902 ,1-50669  ,Sa         ,1,0
10222-3701 ,1-50529  ,SBbc       ,4,0
10222-3702 ,1-50577  ,E          ,-5,0
10222-3703 ,1-50622  ,Edc        ,-5,0
10222-3704 ,1-50472  ,SABb       ,3,0
10222-6101 ,1-582721 ,Sab        ,2,0
10222-6103 ,1-50537  ,SBbc       ,4,0
10222-6104 ,1-50515  ,SAB0       ,-2,0
10222-9101 ,1-50628  ,SBd        ,7,0
10222-9102 ,1-50641  ,SABc       ,5,0
10223-12701,1-551444 ,E          ,-5,0
10223-12702,1-35586  ,SBd        ,7,0
10223-12703,1-36004  ,Sbc        ,4,0
10223-12705,1-35953  ,Sc         ,5,0
10223-1901 ,1-35840  ,Edc        ,-5,0
10223-1902 ,1-35957  ,SABab      ,2,0
10223-3701 ,1-35650  ,S          ,11,0
10223-3702 ,1-35973  ,Edc        ,-5,0
10223-3703 ,1-36098  ,SBab       ,2,0
10223-3704 ,1-35952  ,SABa       ,1,0
10223-6101 ,1-35897  ,SBd        ,7,0
10223-6102 ,1-35912  ,Edc        ,-5,0
10223-6103 ,1-35816  ,E          ,-5,0
10223-6104 ,1-35870  ,Sb         ,3,0
10223-9101 ,1-35876  ,S          ,11,0
10223-9102 ,1-603261 ,Sbc        ,4,0
10224-12701,1-35935  ,SABdm      ,8,0
10224-12702,1-35923  ,SBd        ,7,0
10224-12703,1-603624 ,SBc        ,5,0
10224-12704,1-36276  ,SABc       ,5,0
10224-12705,1-515765 ,Sb         ,3,0
10224-1901 ,1-36285  ,S0a        ,0,0
10224-1902 ,1-36471  ,E          ,-5,0
10224-3701 ,1-35937  ,S0         ,-2,0
10224-3702 ,1-35926  ,SABbc      ,4,0
10224-3703 ,1-36317  ,Sb         ,3,0
10224-3704 ,1-108949 ,SB0a       ,0,0
10224-6101 ,1-36267  ,Sbc        ,4,0
10224-6102 ,1-36266  ,S0         ,-2,0
10224-6103 ,1-36278  ,SABc       ,5,0
10224-6104 ,1-36295  ,SBd        ,7,0
10224-9101 ,1-582042 ,Sc         ,5,0
10224-9102 ,1-36258  ,Sc         ,5,0
10225-12701,1-36456  ,Sbc        ,4,0
10225-12703,1-36562  ,SABcd      ,6,0
10225-12704,1-36452  ,SBa        ,1,0
10225-12705,1-36476  ,E          ,-5,0
10225-1902 ,1-36447  ,SABa       ,1,0
10225-3701 ,1-36457  ,SABdm      ,8,0
10225-3703 ,1-547903 ,S0         ,-2,0
10225-3704 ,1-36423  ,SABbc      ,4,0
10225-6102 ,1-36298  ,SABd       ,7,0
10225-6104 ,1-36566  ,E          ,-5,0
10225-9101 ,1-36548  ,SBab       ,2,0
10225-9102 ,1-36559  ,SBd        ,7,0
10226-12701,1-36564  ,S0a        ,0,0
10226-12702,1-36416  ,SB0        ,-2,0
10226-12703,1-36587  ,S0         ,-2,0
10226-12704,1-36593  ,SABb       ,3,0
10226-12705,1-603667 ,Sc         ,5,0
10226-1901 ,1-36417  ,Sbc        ,4,0
10226-3702 ,1-36565  ,SBm        ,9,0
10226-3703 ,1-36392  ,Sab        ,2,0
10226-3704 ,1-36386  ,SBab       ,2,0
10226-6101 ,1-603668 ,Sb         ,3,0
10226-6102 ,1-548401 ,Sab        ,2,0
10226-6103 ,1-36571  ,SABab      ,2,0
10226-6104 ,1-603674 ,SABa       ,1,0
10226-9101 ,1-36197  ,SBb        ,3,0
10226-9102 ,1-36420  ,SAB        ,11,0
10492-12701,1-380045 ,SBb        ,3,0
10492-12702,1-380097 ,SABb       ,3,0
10492-12703,1-584822 ,Sab        ,2,0
10492-12704,1-605088 ,Sc         ,5,0
10492-12705,1-584905 ,SBb        ,3,0
10492-1902 ,1-380333 ,SAB0a      ,0,0
10492-3701 ,1-584800 ,S0         ,-2,0
10492-3704 ,1-380299 ,SABab      ,2,0
10492-6102 ,1-380000 ,SBab       ,2,0
10492-6103 ,1-605069 ,Sa         ,1,0
10492-6104 ,1-380032 ,SB0a       ,0,0
10492-9101 ,1-605026 ,SABab      ,2,0
10492-9102 ,1-380300 ,SABb       ,3,0
10493-12701,1-351890 ,SABb       ,3,0
10493-12702,1-351923 ,Sc         ,5,0
10493-12703,1-352017 ,Scd        ,6,0
10493-12704,1-352066 ,Sd         ,7,0
10493-12705,1-352120 ,SABc       ,5,0
10493-1901 ,1-352045 ,E          ,-5,0
10493-1902 ,1-352023 ,S0a        ,0,0
10493-3701 ,1-352102 ,Sbc        ,4,0
10493-3702 ,1-548340 ,Edc        ,-5,0
10493-3704 ,1-46056  ,SBab       ,2,0
10493-6101 ,1-351913 ,S0         ,-2,0
10493-6102 ,1-351971 ,E          ,-5,0
10493-6103 ,1-352292 ,E          ,-5,0
10493-6104 ,1-352063 ,Sa         ,1,0
10493-9101 ,1-548337 ,SABb       ,3,0
10493-9102 ,1-352156 ,SABc       ,5,0
10494-12701,1-352403 ,SABa       ,1,0
10494-12702,1-352560 ,S0         ,-2,0
10494-12703,1-584830 ,E          ,-5,0
10494-12704,1-352569 ,E          ,-5,0
10494-12705,1-352635 ,SABc       ,5,0
10494-1902 ,1-379503 ,S0         ,-2,0
10494-3701 ,1-352409 ,Sb         ,3,0
10494-3703 ,1-379877 ,S0a        ,0,0
10494-6101 ,1-352513 ,SABb       ,3,0
10494-6102 ,1-352603 ,Edc        ,-5,0
10494-6103 ,1-379829 ,Sbc        ,4,0
10494-6104 ,1-352538 ,E          ,-5,0
10494-9101 ,1-379814 ,Sbc        ,4,0
10494-9102 ,1-379865 ,SBb        ,3,0
10495-12701,1-45571  ,SABab      ,2,0
10495-12702,1-45704  ,E          ,-5,0
10495-12703,1-548314 ,S0         ,-2,0
10495-12704,1-45208  ,SBb        ,3,0
10495-12705,1-46266  ,Sb         ,3,0
10495-1901 ,1-45281  ,SABb       ,3,0
10495-1902 ,1-45690  ,S0         ,-2,0
10495-3701 ,1-45554  ,Edc        ,-5,0
10495-3702 ,1-45643  ,Sc         ,5,0
10495-3703 ,1-45694  ,SB0        ,-2,0
10495-3704 ,1-548285 ,Edc        ,-5,0
10495-6101 ,1-548290 ,S0         ,-2,0
10495-6102 ,1-45702  ,SABa       ,1,0
10495-6103 ,1-45249  ,Sab        ,2,0
10495-6104 ,1-45698  ,E          ,-5,0
10495-9101 ,1-45641  ,SBc        ,5,0
10495-9102 ,1-45514  ,S0a        ,0,0
10496-12701,1-122535 ,Sab        ,2,0
10496-12702,1-122623 ,SABb       ,3,0
10496-12703,1-72413  ,Sd         ,7,0
10496-12704,1-122711 ,SABb       ,3,0
10496-12705,1-72416  ,SABc       ,5,0
10496-1901 ,1-122869 ,SABab      ,2,0
10496-1902 ,1-122783 ,SB0a       ,0,0
10496-3701 ,1-122684 ,S0         ,-2,0
10496-3702 ,1-548653 ,Sa         ,1,0
10496-3703 ,1-122708 ,S0         ,-2,0
10496-3704 ,1-122768 ,SAB0a      ,0,0
10496-6101 ,1-154273 ,Sbc        ,4,0
10496-6102 ,1-72402  ,SABd       ,7,0
10496-6103 ,1-122625 ,Sbc        ,4,0
10496-6104 ,1-154281 ,E          ,-5,0
10496-9101 ,1-72421  ,S0         ,-2,0
10496-9102 ,1-122507 ,Sbc        ,4,0
10497-12702,1-383052 ,E          ,-5,0
10497-12703,1-383040 ,SABb       ,3,0
10497-12704,1-412407 ,E          ,-5,0
10497-1901 ,1-412352 ,S0         ,-2,0
10497-1902 ,1-412272 ,E          ,-5,0
10497-3701 ,1-383151 ,Sbc        ,4,0
10497-3702 ,1-605013 ,Sa         ,1,0
10497-3703 ,1-412398 ,E          ,-5,0
10497-3704 ,1-412393 ,Sbc        ,4,0
10497-6101 ,1-383135 ,Sab        ,2,0
10497-6102 ,1-412366 ,S0         ,-2,0
10497-9101 ,1-412264 ,Edc        ,-5,0
10497-9102 ,1-584805 ,Sb         ,3,0
10498-12701,1-385339 ,Sd         ,7,0
10498-12702,1-385365 ,SABcd      ,6,0
10498-12703,1-299474 ,E          ,-5,0
10498-12704,1-299414 ,Sc         ,5,0
10498-12705,1-585315 ,SABc       ,5,0
10498-1901 ,59-68    ,Sbc        ,4,0
10498-1902 ,1-299561 ,S0         ,-2,0
10498-3701 ,1-385544 ,SABa       ,1,0
10498-3702 ,1-299570 ,E          ,-5,0
10498-3703 ,1-299571 ,E          ,-5,0
10498-3704 ,1-385342 ,SABab      ,2,0
10498-6101 ,1-585230 ,SABab      ,2,0
10498-6102 ,1-385347 ,S0         ,-2,0
10498-6103 ,1-299532 ,E          ,-5,0
10498-6104 ,1-385828 ,SBa        ,1,0
10498-9101 ,1-605458 ,SBb        ,3,0
10498-9102 ,1-385834 ,E          ,-5,0
10499-12701,1-605451 ,SBd        ,7,0
10499-12702,1-299669 ,E          ,-5,0
10499-12703,1-299781 ,S0         ,-2,0
10499-12704,1-299794 ,SABab      ,2,0
10499-12705,1-299713 ,SABd       ,7,0
10499-1902 ,1-299973 ,Sc         ,5,0
10499-3701 ,1-299468 ,Edc        ,-5,0
10499-3702 ,1-299674 ,SABb       ,3,0
10499-3703 ,1-585313 ,SABb       ,3,0
10499-3704 ,1-299845 ,SABb       ,3,0
10499-6101 ,1-299607 ,S0         ,-2,0
10499-6102 ,1-299684 ,S0a        ,0,0
10499-6103 ,1-230767 ,SABc       ,5,0
10499-6104 ,1-605515 ,S0         ,-2,0
10499-9101 ,1-230790 ,E          ,-5,0
10499-9102 ,1-299476 ,Sa         ,1,0
10500-12701,1-231358 ,Sb         ,3,0
10500-12702,1-300363 ,Sc         ,5,0
10500-12703,1-300461 ,Sb         ,3,0
10500-12704,1-231628 ,Sc         ,5,0
10500-12705,1-300469 ,E          ,-5,0
10500-1901 ,1-300464 ,SABbc      ,4,0
10500-1902 ,1-300411 ,Sa         ,1,0
10500-3701 ,1-386851 ,E          ,-5,0
10500-3702 ,1-300318 ,SABab      ,2,0
10500-3703 ,1-300401 ,SABab      ,2,0
10500-3704 ,1-386889 ,E          ,-5,0
10500-6101 ,1-300275 ,Sbc        ,4,0
10500-6102 ,1-300293 ,SABa       ,1,0
10500-6103 ,1-567465 ,Edc        ,-5,0
10500-6104 ,1-300493 ,SABb       ,3,0
10500-9101 ,1-231694 ,Edc        ,-5,0
10500-9102 ,1-386870 ,Sa         ,1,0
10501-12701,1-231133 ,SABb       ,3,0
10501-12702,1-605501 ,Sbc        ,4,0
10501-12703,1-585349 ,SBcd       ,6,0
10501-12704,1-605543 ,Sc         ,5,0
10501-12705,1-300189 ,Sd         ,7,0
10501-1901 ,1-299960 ,Sab        ,2,0
10501-1902 ,1-300238 ,SBab       ,2,0
10501-3701 ,1-231281 ,SABa       ,1,0
10501-3702 ,1-231297 ,E          ,-5,0
10501-3703 ,1-231412 ,Sbc        ,4,0
10501-3704 ,1-300264 ,SAB0a      ,0,0
10501-6101 ,1-300010 ,SABc       ,5,0
10501-6102 ,1-300138 ,SABab      ,2,0
10501-6103 ,1-231135 ,SBab       ,2,0
10501-6104 ,1-300126 ,E          ,-5,0
10501-9101 ,1-231080 ,E          ,-5,0
10501-9102 ,1-605544 ,SABa       ,1,0
10502-12701,1-230783 ,SABab      ,2,0
10502-12702,1-230926 ,S0         ,-2,0
10502-12703,1-230972 ,SABb       ,3,0
10502-12704,1-230850 ,Sb         ,3,0
10502-12705,1-231147 ,SBa        ,1,0
10502-1901 ,1-605335 ,Sab        ,2,0
10502-1902 ,1-230910 ,SAB0a      ,0,0
10502-3701 ,1-230672 ,S0         ,-2,0
10502-3702 ,1-230707 ,Edc        ,-5,0
10502-3703 ,1-230930 ,Sb         ,3,0
10502-3704 ,1-231174 ,S0a        ,0,0
10502-6101 ,1-230524 ,Edc        ,-5,0
10502-6102 ,1-230870 ,E          ,-5,0
10502-6103 ,1-230956 ,SBc        ,5,0
10502-6104 ,1-230987 ,Sb         ,3,0
10502-9101 ,1-230960 ,S0a        ,0,0
10502-9102 ,1-231008 ,Edc        ,-5,0
10503-12701,1-79952  ,SBd        ,7,0
10503-12702,1-80034  ,Sbc        ,4,0
10503-12703,1-587259 ,Sbc        ,4,0
10503-12704,1-80003  ,SABc       ,5,0
10503-12705,1-560323 ,SAB0       ,-2,0
10503-1901 ,1-79976  ,S0         ,-2,0
10503-1902 ,1-183760 ,SBa        ,1,0
10503-3701 ,1-79971  ,S0a        ,0,0
10503-3702 ,1-560327 ,SB0        ,-2,0
10503-3704 ,1-80331  ,S0         ,-2,0
10503-6101 ,1-80403  ,S0         ,-2,0
10503-6102 ,1-80127  ,SABbc      ,4,0
10503-6103 ,1-183745 ,S0         ,-2,0
10503-9101 ,1-80332  ,E          ,-5,0
10503-9102 ,1-183743 ,SABbc      ,4,0
10504-12701,1-605814 ,SABa       ,1,0
10504-12702,1-232054 ,Sa         ,1,0
10504-12704,1-232143 ,SABc       ,5,0
10504-12705,1-300709 ,E          ,-5,0
10504-1901 ,1-300674 ,S0a        ,0,0
10504-1902 ,1-232053 ,S0         ,-2,0
10504-3701 ,1-300675 ,Sa         ,1,0
10504-3702 ,1-300925 ,S0         ,-2,0
10504-3703 ,1-300968 ,Sab        ,2,0
10504-3704 ,1-300695 ,S0         ,-2,0
10504-6102 ,1-605790 ,Edc        ,-5,0
10504-6104 ,1-232100 ,Sab        ,2,0
10504-9101 ,1-300699 ,S0a        ,0,0
10504-9102 ,1-231891 ,Sab        ,2,0
10505-12701,1-300625 ,SABb       ,3,0
10505-12702,1-300739 ,Sa         ,1,0
10505-12703,1-300773 ,SABbc      ,4,0
10505-12704,1-300718 ,SABb       ,3,0
10505-12705,1-300759 ,S0         ,-2,0
10505-1901 ,1-300624 ,Sa         ,1,0
10505-1902 ,1-567457 ,Sb         ,3,0
10505-3701 ,1-300705 ,S0a        ,0,0
10505-6101 ,1-300600 ,S0         ,-2,0
10505-6102 ,1-585543 ,Edc        ,-5,0
