plateifu,log(N/Ha),log(O/Hb),avg_emline_sew_peak_ha_6564
10001-12701,-0.560831661,-0.032561326,9.668568134
10001-12702,-0.28961253,-0.188317245,1.429980457
10001-12703,-0.399115607,-0.347770336,5.222799778
10001-12704,-0.389115088,-0.3373577,18.1302104
10001-12705,-0.454192677,-0.643360471,12.08104587
10001-1901,-0.296846683,-0.37863839,7.70839572
10001-1902,-0.308189073,0.05455067,0.71267873
10001-3701,0.031302684,-0.097112798,0.274224937
10001-3702,-0.350386221,-0.564733019,90.59004211
10001-3703,-0.323708278,0.138772155,13.61896586
10001-3704,0.238767442,0.342430657,2.22981149
10001-6101,0.157160427,-0.144486648,0.854942665
10001-6102,-0.078364806,0.514925715,48.88847446
10001-6103,-0.214065927,0.222350304,1.079094991
10001-6104,0.157858752,0.469398624,3.228222847
10001-9101,-0.540063933,-0.16473547,18.41508675
10001-9102,0.182720557,0.346477974,1.115059614
10141-12701,-0.358571757,-0.897575158,3872.768005
10141-12702,-0.489945161,-0.558892208,31.05068334
10141-12703,-0.410695999,-0.276984798,32.75499511
10141-12704,-0.037241066,-0.61443873,20.93360583
10141-12705,-0.32321185,-1.140544927,11.17187723
10141-9101,-0.490759,-0.746220988,18.50533104
10141-9102,0.218711491,-0.792293197,9.412748337
10142-12701,-0.127940139,0.231783315,141.1631432
10142-12702,-0.243393973,-0.878649697,53.08060074
10142-12703,-0.585390603,-1.096347642,402.4755554
10142-12704,-0.598859448,-0.910683656,23.37222719
10142-12705,-0.134536104,-0.752929262,17.86821818
10142-9101,-0.21720803,-0.034020766,59.78502909
10142-9102,-0.408475574,0.423152269,5.572193384
10143-12701,-0.024000262,0.000427859,89.3913641
10143-12702,-0.452921289,-0.911602506,33.50818014
10143-12703,-0.559559823,-0.543179367,116.4742813
10143-12704,-0.471551367,-0.438773075,113.1237717
10143-12705,-0.370592492,-0.872678106,99.3607682
10143-9101,-0.327403281,-0.721343044,34.92684301
10143-9102,0.00048141,-0.401648719,2.012337394
10144-12701,-0.306453535,0.320903685,34.86252308
10144-12702,-0.557567741,0.000490603,48.97634888
10144-12703,-0.587922925,-1.369275706,48.81697083
10144-12704,-0.664135054,0.109513593,69.82546743
10144-12705,-0.447523949,-1.023506078,61.61049779
10144-9101,0.13787967,0.111258051,1.48786811
10144-9102,0.129942524,-0.05778492,1.158834435
10145-12701,-0.445611833,-0.499132884,689.0536346
10145-12702,-0.302547442,-0.502783576,32.65068054
