plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,avg_objdec,avg_emline_sflux_cen_oiid_3728,avg_emline_sflux_cen_hb_48621,avg_emline_sflux_cen_oiii_4960,avg_emline_sflux_cen_oiii_50081,avg_emline_sflux_cen_nii_6549,avg_emline_sflux_cen_ha_65641,avg_emline_sflux_cen_nii_65851
10001-12701,40.01057148,43.12569237,46.2532053,168.2571373,9.668568134,57.59842682,122.0146618,43.12569237,11.7604053,40.01057148,17.41998053,168.2571373,46.2532053
10001-12702,4.152588934,6.406726539,8.001792669,15.58833838,1.429980457,57.48025131,10.51811051,6.406726539,1.921826735,4.152588934,1.546292759,15.58833838,8.001792669
10001-12703,9.076808691,20.21638584,39.58503246,99.23082733,5.222799778,57.09233093,29.06844997,20.21638584,3.035104275,9.076808691,14.14631081,99.23082733,39.58503246
10001-12704,11.44009852,24.87639618,59.20520973,145.0357323,18.1302104,57.67796707,48.83490086,24.87639618,1.745283097,11.44009852,22.69056129,145.0357323,59.20520973
10001-12705,11.90956759,52.39097309,82.34702682,234.3368568,12.08104587,57.45143509,53.67911625,52.39097309,6.253898621,11.90956759,27.57449675,234.3368568,82.34702682
10001-1901,11.78785348,28.18857479,64.0112114,126.7951756,7.70839572,57.04115677,43.54650211,28.18857479,1.924919128,11.78785348,23.44600773,126.7951756,64.0112114
10001-1902,12.35959117,10.90067609,4.387077173,8.919989586,0.71267873,56.78674698,2.273025672,10.90067609,4.986012459,12.35959117,6.729632537,8.919989586,4.387077173
10001-3701,2.454540014,3.069607973,3.231330474,3.006621043,0.274224937,57.14372635,2.716921488,3.069607973,-1.550090114,2.454540014,0.31127122,3.006621043,3.231330474
10001-3702,102.8169479,377.3963776,669.5938568,1500.367615,90.59004211,57.10742188,388.5524292,377.3963776,31.68166399,102.8169479,225.4643974,1500.367615,669.5938568
10001-3703,78.17225838,56.79112911,111.951189,235.9049149,13.61896586,57.68496704,109.4915295,56.79112911,24.35820246,78.17225838,36.18520641,235.9049149,111.951189
10001-3704,32.23724556,14.65302432,62.93426323,36.31781483,2.22981149,56.87889481,46.04412174,14.65302432,-5.135226011,32.23724556,20.62819624,36.31781483,62.93426323
10001-6101,5.327970624,7.431020677,11.53818774,8.034838915,0.854942665,57.42361069,4.780201077,7.431020677,-0.518328533,5.327970624,-2.145642936,8.034838915,11.53818774
10001-6102,547.4260864,167.2629585,636.7818756,762.7030792,48.88847446,57.35966873,194.3476868,167.2629585,177.9440956,547.4260864,220.670742,762.7030792,636.7818756
10001-6103,26.94125652,16.14609647,11.35670042,18.59165692,1.079094991,57.39096451,25.81103611,16.14609647,7.144271612,26.94125652,8.149908423,18.59165692,11.35670042
10001-6104,46.58654976,15.80745387,79.05558968,54.9634304,3.228222847,56.79639435,76.22654724,15.80745387,13.17130518,46.58654976,31.53727198,54.9634304,79.05558968
10001-9101,58.38530064,85.31767082,87.22965431,302.5018845,18.41508675,57.56454468,195.2091141,85.31767082,18.41815948,58.38530064,31.35932541,302.5018845,87.22965431
10001-9102,16.28327131,7.33269608,30.47479868,20.00876522,1.115059614,56.62538528,22.441401,7.33269608,1.524877876,16.28327131,8.306111693,20.00876522,30.47479868
10141-12701,2056.668335,16245.73706,32477.8584,74158.19336,3872.768005,68.09662628,4283.92981,16245.73706,621.2796326,2056.668335,11237.86377,74158.19336,32477.8584
10141-12702,4.497021357,16.28610229,11.18893496,34.57274882,31.05068334,68.14912415,-999,16.28610229,-7.525261402,4.497021357,8.039271196,34.57274882,11.18893496
10141-12703,32.36386353,61.24140686,101.7100692,261.854444,32.75499511,68.14537811,18.84800774,61.24140686,4.439219557,32.36386353,31.66084263,261.854444,101.7100692
10141-12704,1.738270203,7.154116631,9.639959335,10.5030702,20.93360583,68.04787445,6.506723563,7.154116631,5.930752277,1.738270203,-0.265463393,10.5030702,9.639959335
10141-12705,1.122804046,15.51846981,14.78370889,31.1168232,11.17187723,68.04412842,3.690681855,15.51846981,2.596978744,1.122804046,3.560793082,31.1168232,14.78370889
10141-9101,5.798484008,32.32477061,43.24565506,133.8756154,18.50533104,68.10495758,-14.80346616,32.32477061,6.459133625,5.798484008,12.22937965,133.8756154,43.24565506
10141-9102,-0.906670113,-5.620079994,10.12958177,6.121812503,9.412748337,68.08829498,-32.32865334,-5.620079994,-10.14747334,-0.906670113,0.776286483,6.121812503,10.12958177
10142-12701,28.18976259,16.53134173,72.60377932,97.47637439,141.1631432,68.10037231,8.857639492,16.53134173,7.137859643,28.18976259,23.78822196,97.47637439,72.60377932
10142-12702,-2.27775526,17.22490184,20.7201074,36.28991699,53.08060074,68.15287781,4.582509995,17.22490184,-0.819082096,-2.27775526,8.385384878,36.28991699,20.7201074
10142-12703,35.13812065,438.6581192,436.4850159,1680.195984,402.4755554,68.14912415,290.9418106,438.6581192,-4.083768845,35.13812065,164.4936485,1680.195984,436.4850159
10142-12704,2.125003889,17.29989174,27.94474861,110.9582644,23.37222719,68.05162811,-78.31228191,17.29989174,0.714254936,2.125003889,10.20707799,110.9582644,27.94474861
10142-12705,1.965059215,11.12512511,11.09585916,15.12505767,17.86821818,68.04787445,-17.23321649,11.12512511,-17.06031691,1.965059215,5.35417182,15.12505767,11.09585916
10142-9101,2.751209339,2.975393454,37.58224233,61.97131602,59.78502909,68.1081543,16.98629761,2.975393454,-4.362293402,2.751209339,8.184295654,61.97131602,37.58224233
10142-9102,-5.230477925,1.974190712,3.924556836,10.0523175,5.572193384,68.09148407,-58.76425424,1.974190712,-0.391882405,-5.230477925,7.43011336,10.0523175,3.924556836
10143-12701,16.76768592,16.75117484,47.39331836,50.08611888,89.3913641,68.10412598,-46.49479175,16.75117484,1.406990826,16.76768592,18.70481843,50.08611888,47.39331836
10143-12702,-2.642916054,21.5618428,15.58091402,44.20935917,33.50818014,68.15662384,26.93398428,21.5618428,3.637728594,-2.642916054,10.56446999,44.20935917,15.58091402
10143-12703,15.98465983,55.83194606,48.93887456,177.5063121,116.4742813,68.15287781,-40.55265554,55.83194606,10.76803398,15.98465983,17.15406863,177.5063121,48.93887456
10143-12704,9.896091779,27.17920748,11.95728811,35.41474024,113.1237717,68.05537415,13.34400654,27.17920748,-13.19112364,9.896091779,3.855898778,35.41474024,11.95728811
10143-12705,-1.070398845,7.984059006,19.80160332,46.48286068,99.3607682,68.05162811,-17.80438814,7.984059006,-0.186169989,-1.070398845,6.075446516,46.48286068,19.80160332
10143-9101,3.814035257,20.07833735,63.1880366,134.2882894,34.92684301,68.11134338,1.920212785,20.07833735,11.3097744,3.814035257,16.89580854,134.2882894,63.1880366
10143-9102,2.007943267,5.062909413,7.637400314,7.62893904,2.012337394,68.09468079,-257.3316871,5.062909413,3.580560407,2.007943267,0.16094762,7.62893904,7.637400314
10144-12701,22.75489393,10.86853805,40.68902797,82.40069032,34.86252308,68.10037231,-0.858127207,10.86853805,4.794571437,22.75489393,13.06616665,82.40069032,40.68902797
10144-12702,30.58693186,30.55239868,39.33323034,142.0127563,48.97634888,68.15287781,0.658241113,30.55239868,7.376253923,30.58693186,14.77574285,142.0127563,39.33323034
10144-12703,2.411878268,56.44572957,66.73458099,258.3889058,48.81697083,68.14912415,88.59269714,56.44572957,7.821794669,2.411878268,23.81209755,258.3889058,66.73458099
10144-12704,-14.53667514,11.2966973,9.674728076,44.64510218,69.82546743,68.05162811,-51.01425298,11.2966973,-4.546543439,-14.53667514,5.21476841,44.64510218,9.674728076
10144-12705,8.172415257,86.2693456,107.3903732,300.9465027,61.61049779,68.04787445,-28.60483996,86.2693456,5.475415071,8.172415257,33.25808462,300.9465027,107.3903732
10144-9101,-4.954163233,-3.834531069,13.66466268,9.947621346,1.48786811,68.1081543,-33.43432109,-3.834531069,0.503966212,-4.954163233,1.955885728,9.947621346,13.66466268
10144-9102,-4.509028172,-5.150719136,5.723386914,4.243366875,1.158834435,68.09148407,1.360786253,-5.150719136,2.534651583,-4.509028172,5.627590204,4.243366875,5.723386914
10145-12701,20.18867169,63.71484482,127.7039726,356.3003426,689.0536346,68.09287262,25.41256899,63.71484482,-4.444814973,20.18867169,38.6704632,356.3003426,127.7039726
10145-12702,-7.516418616,23.92183749,31.35790698,62.93532944,32.65068054,68.14537811,-64.11260096,23.92183749,-18.6640536,-7.516418616,15.0353171,62.93532944,31.35790698
10145-12703,-0.998067935,13.33649095,33.80726115,63.11346054,12.84330241,68.14162445,-10.08029493,13.33649095,-1.709828556,-0.998067935,-1.836978118,63.11346054,33.80726115
10145-12704,2.958387295,9.369035721,24.40689659,37.05791601,13.66676903,68.04412842,9.867501895,9.369035721,4.530393124,2.958387295,8.74939537,37.05791601,24.40689659
10145-12705,18.20131874,114.5195033,182.5360819,408.2793376,58.37672806,68.04037476,-24.64717992,114.5195033,4.567572594,18.20131874,57.82661438,408.2793376,182.5360819
10145-9101,3.912006382,13.62639399,13.016931,27.11069542,19.94312912,68.10176086,4.444662034,13.62639399,-2.559282918,3.912006382,2.231514804,27.11069542,13.016931
10145-9102,2.059787296,15.89501421,4.960357875,7.41171968,9.576506019,68.08509827,1.202286348,15.89501421,6.946603419,2.059787296,9.004064098,7.41171968,4.960357875
10146-12701,32.38999812,58.8870608,239.3711446,258.8684285,61.16772079,68.08912659,41.76395925,58.8870608,11.36810303,32.38999812,79.15948741,258.8684285,239.3711446
10146-12702,2.272516569,19.77037303,45.01004664,86.23310852,12.41926257,68.14162445,-13.47013791,19.77037303,15.92281532,2.272516569,16.74140867,86.23310852,45.01004664
10146-12703,6.865050346,1.882545337,18.79711884,50.77204013,19.56825089,68.13787842,22.7080819,1.882545337,-1.287897763,6.865050346,10.39800815,50.77204013,18.79711884
10146-12704,3.907694181,3.472333392,24.86868477,60.22106806,36.42011642,68.04037476,19.89013354,3.472333392,-1.232718627,3.907694181,13.0559988,60.22106806,24.86868477
10146-12705,23.36952527,8.533482552,15.62020461,33.72397614,49.09464391,68.03662872,20.73815155,8.533482552,2.504170497,23.36952527,3.05260404,33.72397614,15.62020461
10146-9101,0.739174068,6.053913434,10.50426928,16.71144454,2.361412287,68.09857178,2.361953656,6.053913434,2.325878302,0.739174068,5.550706546,16.71144454,10.50426928
10146-9102,6.205864271,15.42573833,25.82442983,86.41297404,28.39750926,68.08190155,-73.48846181,15.42573833,4.683873177,6.205864271,6.684700966,86.41297404,25.82442983
10147-12701,31.3726877,58.81911254,110.8831053,234.0413876,109.0420265,68.09287262,87.22039461,58.81911254,6.748101965,31.3726877,38.02002001,234.0413876,110.8831053
10147-12702,-4.870672703,9.914544741,18.32857895,15.96328449,7.290999413,68.14537811,-17.93999736,9.914544741,-16.07987213,-4.870672703,6.139415423,15.96328449,18.32857895
10147-12703,-7.86695528,18.75075976,21.9861997,52.17081324,83.21434784,68.14162445,60.56650798,18.75075976,0.220883499,-7.86695528,4.064259926,52.17081324,21.9861997
10147-12704,5.440775553,33.88968913,60.36685054,218.5321655,187.9031576,68.04412842,29.29423396,33.88968913,2.465662479,5.440775553,24.33157603,218.5321655,60.36685054
10147-12705,-5.201417923,-2.701260885,9.863532702,24.36141968,6.765631358,68.04037476,-17.83896891,-2.701260885,7.536967436,-5.201417923,7.487202644,24.36141968,9.863532702
10147-9101,-0.446840681,-2.53941603,15.70947777,19.87891436,15.90057898,68.10176086,18.03595752,-2.53941603,-1.297196358,-0.446840681,8.654009238,19.87891436,15.70947777
10147-9102,4.4461507,5.146056811,4.465783596,9.531077385,8.396541913,68.08509827,2.600341161,5.146056811,-3.597170194,4.4461507,-6.682756265,9.531077385,4.465783596
10148-12701,29.17459997,-9.50595967,34.01381811,28.14708328,22.26538595,68.10412598,-663.5020361,-9.50595967,6.467030048,29.17459997,12.89732774,28.14708328,34.01381811
10148-12702,14.35501544,51.46422323,91.06599935,263.7640584,60.75208028,68.15662384,44.29244105,51.46422323,14.37133058,14.35501544,26.42449633,263.7640584,91.06599935
10148-12703,-4.500311693,1.302888493,22.85057513,49.86579768,60.62102127,68.15287781,25.29183706,1.302888493,6.190838655,-4.500311693,9.65468661,49.86579768,22.85057513
10148-12704,10.63667806,10.01111666,26.01644452,47.52481969,55.34289805,68.05537415,-54.54163869,10.01111666,11.40242894,10.63667806,3.85062933,47.52481969,26.01644452
10148-12705,13.32630857,-6.971304576,24.80905787,29.81014887,16.28926468,68.05162811,37.50924428,-6.971304576,-9.451045672,13.32630857,10.0503238,29.81014887,24.80905787
10148-9101,5.019469585,-5.951956746,8.946037903,9.10789524,20.16178656,68.11134338,-30.89335601,-5.951956746,0.577734075,5.019469585,5.23989933,9.10789524,8.946037903
10148-9102,2.042513875,9.29925894,2.789376244,14.01222536,5.037323564,68.09468079,20.05623232,9.29925894,-0.900771562,2.042513875,1.408979889,14.01222536,2.789376244
10149-12701,31.21944076,59.00192946,72.6731925,313.1596217,416.6418915,68.10787201,90.91049433,59.00192946,18.86024973,31.21944076,29.87046731,313.1596217,72.6731925
10149-12702,-5.06844457,47.03568522,53.74783325,163.8476461,78.2013677,68.1603775,52.05807877,47.03568522,-3.378237089,-5.06844457,25.18947538,163.8476461,53.74783325
10149-12703,5.653882186,11.00246461,30.13788605,89.13824972,119.2250621,68.15662384,-8.273593585,11.00246461,-4.057076454,5.653882186,10.07017962,89.13824972,30.13788605
10149-12704,12.12810389,6.928973834,24.39032046,38.63968277,41.69167455,68.05912781,28.60364532,6.928973834,6.632508437,12.12810389,13.36800512,38.63968277,24.39032046
10149-12705,9.64143912,0.080445568,17.56586138,9.780753454,23.01020559,68.05537415,-54.85765839,0.080445568,-0.761526898,9.64143912,3.341167291,9.780753454,17.56586138
10149-9101,4.815684259,20.37744762,14.36657774,15.29947615,27.50024366,68.1145401,22.44491073,20.37744762,-3.947864091,4.815684259,3.303932711,15.29947615,14.36657774
10149-9102,3.564676778,7.422267426,9.641795732,8.740459353,4.108692557,68.0978775,-274.1833801,7.422267426,12.26336895,3.564676778,3.797042783,8.740459353,9.641795732
10150-12701,-6.217465401,30.24260076,22.0306441,53.84634272,198.3654989,68.11162567,-16.4064738,30.24260076,6.365910371,-6.217465401,13.30097389,53.84634272,22.0306441
10150-12702,12.21421591,15.83865897,16.76756477,45.57050451,29.01069387,68.16412354,-11.25027084,15.83865897,-5.721265157,12.21421591,2.843723536,45.57050451,16.76756477
10150-12703,21.39414024,59.71185811,66.01414235,224.2526398,151.757075,68.1603775,22.15083122,59.71185811,-5.865049362,21.39414024,22.68702189,224.2526398,66.01414235
10150-12704,-9.096624112,8.264598548,18.80403689,44.50567508,45.74002886,68.06287384,-43.89326838,8.264598548,1.197458573,-9.096624112,1.916415609,44.50567508,18.80403689
10150-12705,8.759666284,12.64221891,19.48234113,37.37582779,60.60301208,68.05912781,-63.67568334,12.64221891,-4.318983475,8.759666284,2.60946401,37.37582779,19.48234113
10150-9101,17.29019603,7.351780385,6.379407108,7.862685084,55.2194134,68.11773682,6.77378872,7.351780385,-3.269362284,17.29019603,-2.618484028,7.862685084,6.379407108
10150-9102,4.284051802,3.894956313,10.40498126,19.04610009,1.379594192,68.10106659,-255.3132245,3.894956313,0.764076395,4.284051802,-1.04575995,19.04610009,10.40498126
10213-12701,5.606835723,6.205177486,9.364943743,8.109028816,0.817785963,43.7284584,5.647944093,6.205177486,0.643259734,5.606835723,3.709993482,8.109028816,9.364943743
10213-12702,13.39039922,20.36841965,18.57472992,65.79349709,4.316710055,43.3509903,54.53066063,20.36841965,2.924489975,13.39039922,5.43190372,65.79349709,18.57472992
10213-12703,3.87100099,6.957972288,6.768777311,22.3754096,2.099981844,44.30093384,13.80136275,6.957972288,0.290616417,3.87100099,2.376700446,22.3754096,6.768777311
10213-12704,7.85558033,8.897200763,16.74303412,11.52974391,1.087745726,42.88066864,11.91655588,8.897200763,-0.752874464,7.85558033,3.780758262,11.52974391,16.74303412
10213-12705,26.57100964,78.58808899,171.4897575,396.5163727,24.7701025,41.55497742,50.51515961,78.58808899,9.157236576,26.57100964,59.76666832,396.5163727,171.4897575
10213-1901,84.85615349,49.86257982,90.72178459,74.69820023,5.430150747,43.44763565,103.3723984,49.86257982,15.76344442,84.85615349,27.96822929,74.69820023,90.72178459
