plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,avg_objdec,avg_stellar_vel_lo,avg_stellar_vel_hi,avg_stellar_sigma_1re,avg_ha_z,avg_ha_gsigma_1re,avg_emline_sflux_cen_oiid_3728,avg_emline_sflux_cen_h12_3751,avg_emline_sflux_cen_h11_3771,avg_emline_sflux_cen_hthe_3798,avg_emline_sflux_cen_heta_3836,avg_emline_sflux_cen_neiii_3869,avg_emline_sflux_cen_hzet_3890,avg_emline_sflux_cen_heps_3971,avg_emline_sflux_cen_hdel_4102,avg_emline_sflux_cen_hgam_4341,avg_emline_sflux_cen_heii_4687,avg_emline_sflux_cen_hb_48621,avg_emline_sflux_cen_oiii_4960,avg_emline_sflux_cen_oiii_50081,avg_emline_sflux_cen_ni_5199,avg_emline_sflux_cen_hei_5877,avg_emline_sflux_cen_oi_6302,avg_emline_sflux_cen_oi_6365,avg_emline_sflux_cen_nii_6549,avg_emline_sflux_cen_ha_65641,avg_emline_sflux_cen_nii_65851,avg_emline_sflux_cen_sii_6718,avg_emline_sflux_cen_sii_6732,avg_emline_sflux_cen_hei_7067,avg_emline_sflux_cen_ariii_7137,avg_emline_sflux_cen_ariii_7753,avg_emline_sflux_cen_peta_9017,avg_emline_sflux_cen_siii_9071,avg_emline_sflux_cen_pzet_9231,avg_emline_sflux_cen_siii_9533,avg_emline_sflux_cen_peps_9548
10001-12701,40.01057148,43.12569237,46.2532053,168.2571373,9.668568134,57.59842682,-133.8951721,110.1936722,56.17117882,0.039206737,33.14822388,122.0146618,-1.762923375,5.994739652,-2.118254483,3.662028134,1.488509148,7.114438534,7.128291845,13.36739922,18.06119823,4.786071658,43.12569237,11.7604053,40.01057148,2.19273743,7.552964091,6.940219164,2.960106492,17.41998053,168.2571373,46.2532053,41.5521841,29.60417938,1.681097507,1.164392233,-0.987687945,-8.666672707,14.1509583,2.02571857,37.25374985,6.925881982
10001-12702,4.152588934,6.406726539,8.001792669,15.58833838,1.429980457,57.48025131,-138.1993885,73.90595245,36.91898346,0.040805306,35.77480507,10.51811051,-0.650389282,-2.262236267,4.938802272,-1.517545722,0.041678936,-3.962741196,0.963194452,0.558787634,1.269034848,-0.540026046,6.406726539,1.921826735,4.152588934,-1.867314517,-1.495968759,1.07242164,1.337319456,1.546292759,15.58833838,8.001792669,6.064606607,3.286089361,0.613742005,0.103453312,0.116382792,-14.24774241,-3.05902645,2.807134047,2.299483418,11.00176418
10001-12703,9.076808691,20.21638584,39.58503246,99.23082733,5.222799778,57.09233093,-144.5752335,157.680336,81.57899475,0.046249493,49.56769276,29.06844997,1.327600956,-0.058065044,-1.285181969,-0.939855471,-2.402187258,2.107712686,-2.230816364,5.587303519,7.587887526,2.990073144,20.21638584,3.035104275,9.076808691,1.152647465,-1.792853653,1.780881703,1.349261269,14.14631081,99.23082733,39.58503246,16.3529501,11.10171914,-0.32218048,3.379231572,6.877124548,-8.935264587,3.766780794,3.25493443,18.28981924,10.28491688
10001-12704,11.44009852,24.87639618,59.20520973,145.0357323,18.1302104,57.67796707,-118.983902,88.85619164,52.87941551,0.014122522,27.49896479,48.83490086,1.392759711,6.14488709,8.249613643,1.128705025,-1.50272423,2.541853428,4.130524278,7.270354509,11.48310351,2.013902485,24.87639618,1.745283097,11.44009852,1.451364666,0.913557306,8.487013817,0.987452596,22.69056129,145.0357323,59.20520973,39.59311581,27.18823767,1.445266515,3.044599771,1.151895106,0.351282556,9.487237215,-0.603802949,29.64926577,2.996645629
10001-12705,11.90956759,52.39097309,82.34702682,234.3368568,12.08104587,57.45143509,-149.8135643,122.8043022,67.22358131,0.046189261,46.46122074,53.67911625,-0.901226372,0.976969033,0.717474282,3.945944309,0.27277562,6.404589057,7.077767372,10.64321518,23.71509123,-0.827349737,52.39097309,6.253898621,11.90956759,4.474773288,2.047930986,2.974915862,1.662633389,27.57449675,234.3368568,82.34702682,34.95556831,24.22451782,1.090332747,-1.20648405,2.234935045,-0.928078458,8.142890692,2.740042925,25.40252352,6.696235657
10001-1901,11.78785348,28.18857479,64.0112114,126.7951756,7.70839572,57.04115677,-94.23293877,64.54238415,58.73374081,0.025751232,52.36240959,43.54650211,-0.580291949,-2.540317327,0.959338397,2.420418531,7.370809078,11.39494562,1.274481274,7.586645365,10.08191895,-1.489557952,28.18857479,1.924919128,11.78785348,1.224688798,-1.080234036,4.811033607,4.153118014,23.44600773,126.7951756,64.0112114,36.02880573,22.8615818,-1.09244065,-1.682147801,1.742245555,3.346017182,7.333771229,0.723698217,25.48007536,13.97646785
10001-1902,12.35959117,10.90067609,4.387077173,8.919989586,0.71267873,56.78674698,-58.89677684,75.9188029,142.8422089,0.026453494,421.613973,2.273025672,-0.065156762,3.745740732,3.510243416,-3.489569426,9.015182177,8.575171471,-3.998179992,-1.530728062,7.424762885,-10.78421529,10.90067609,4.986012459,12.35959117,4.389860471,0.877548496,8.617830276,-0.083095411,6.729632537,8.919989586,4.387077173,8.609963735,4.843908946,8.182546933,4.772415479,4.53431193,1.981922547,2.41784366,-1.770049532,9.590000788,6.957238197
10001-3701,2.454540014,3.069607973,3.231330474,3.006621043,0.274224937,57.14372635,-48.06363042,81.82143911,104.4408264,0.04006868,415.2916972,2.716921488,-1.746944308,1.823764483,2.169343313,0.318289657,-2.990901868,-2.31283013,-2.469810565,-1.815434178,2.8219618,-3.185017427,3.069607973,-1.550090114,2.454540014,2.37604324,6.618770281,1.049167275,2.059451977,0.31127122,3.006621043,3.231330474,2.813446124,5.340645154,1.668462674,1.770581683,0.559947173,3.183265289,-1.031615535,5.353099982,-3.259130637,15.24812285
10001-3702,102.8169479,377.3963776,669.5938568,1500.367615,90.59004211,57.10742188,-38.75916672,30.67525721,65.32349586,0.025615347,40.40285587,388.5524292,0.648495913,7.255104899,19.71817994,10.95806956,27.93043327,71.22638321,41.39512348,93.96284485,160.8164673,2.451441765,377.3963776,31.68166399,102.8169479,6.450733423,22.82971334,16.02986646,9.566383362,225.4643974,1500.367615,669.5938568,284.3170853,221.0634727,1.48657465,9.530897856,6.663819671,11.42207623,87.08695984,7.153362989,241.3794899,38.65831947
10001-3703,78.17225838,56.79112911,111.951189,235.9049149,13.61896586,57.68496704,-107.3389416,106.3732777,97.5369606,0.040574179,69.25130653,109.4915295,-0.762751915,-3.141222954,0.438196987,4.317881167,11.78866529,4.765694022,4.64341861,11.616925,18.45687819,0.997136608,56.79112911,24.35820246,78.17225838,4.319411874,8.952963829,10.15247679,4.701409817,36.18520641,235.9049149,111.951189,57.48119068,42.56598091,0.016590537,4.411410451,-2.712858319,4.395900846,19.4180727,4.706000924,60.15940952,14.98685312
10001-3704,32.23724556,14.65302432,62.93426323,36.31781483,2.22981149,56.87889481,-33.94436264,53.62833118,103.5356903,0.030836908,58.05055237,46.04412174,0.008060306,-1.992166758,5.469612718,11.60218549,16.60124886,11.77223325,2.298393995,-7.121261239,9.308015853,-10.10272098,14.65302432,-5.135226011,32.23724556,12.70343566,-11.18937123,-6.071035028,-1.613448352,20.62819624,36.31781483,62.93426323,17.41342545,17.62933207,9.859653711,4.488234401,-3.959042549,21.30680561,18.9465189,-13.83552909,14.72768426,12.64675426
10001-6101,5.327970624,7.431020677,11.53818774,8.034838915,0.854942665,57.42361069,-54.79455185,62.68463421,210.59515,0.119090205,228.1571388,4.780201077,1.485635251,1.594667673,3.060062766,1.070365548,1.984029949,9.116304874,-2.891353071,0.450038649,5.327702641,-0.959964737,7.431020677,-0.518328533,5.327970624,3.510615289,3.087701619,0.95394209,-0.265854456,-2.145642936,8.034838915,11.53818774,6.173744321,6.752280354,-1.016667612,-2.743783057,-1.105420142,-3.255368769,10.26954317,-999,-999,-999
10001-6102,547.4260864,167.2629585,636.7818756,762.7030792,48.88847446,57.35966873,-194.980442,136.7221718,113.3603973,0.026168348,94.62424088,194.3476868,3.326337218,7.143076777,11.84099603,15.03000522,61.14334011,46.42813396,30.01729202,33.31299877,66.11466217,17.23086309,167.2629585,177.9440956,547.4260864,15.53233075,24.88348198,42.20331573,12.9346633,220.670742,762.7030792,636.7818756,157.5659409,127.5279102,-0.003276948,16.52360725,16.06755614,-0.697128385,78.2683773,7.06698072,197.0462494,36.49256706
10001-6103,26.94125652,16.14609647,11.35670042,18.59165692,1.079094991,57.39096451,-66.46701431,91.96411896,134.5855331,0.040564282,166.4195824,25.81103611,1.438411146,2.208285809,4.520538718,-3.621016204,-0.0912413,0.210469425,-3.630173922,-0.229154304,10.83089989,-2.351111889,16.14609647,7.144271612,26.94125652,6.3808465,7.426441073,-2.024167389,-12.02347803,8.149908423,18.59165692,11.35670042,11.3580668,20.86671495,0.92508696,2.960385263,4.187429368,15.75155473,20.01199579,9.246409893,10.09158325,14.29142642
10001-6104,46.58654976,15.80745387,79.05558968,54.9634304,3.228222847,56.79639435,-55.0594759,39.2656765,242.2300377,0.06726714,225.5096321,76.22654724,0.430422962,1.447444066,1.809719328,3.041295648,9.247980624,5.530949235,-0.08517753,-8.985644341,9.211972475,-6.258652925,15.80745387,13.17130518,46.58654976,19.1080246,10.05273342,17.00940752,-2.200537384,31.53727198,54.9634304,79.05558968,34.96321678,24.38224649,4.109231949,0.347335264,3.865653694,-1.887139857,3.211093605,-5.218470454,17.1631093,20.0025692
10001-9101,58.38530064,85.31767082,87.22965431,302.5018845,18.41508675,57.56454468,-79.84139919,68.74672318,56.06897354,0.040080839,32.42549419,195.2091141,1.196048558,1.288269997,6.27569437,5.54728663,2.785414338,12.23311234,9.901553392,16.69926357,39.82532787,0.843997747,85.31767082,18.41815948,58.38530064,0.830726668,7.944194555,10.48056364,3.524522901,31.35932541,302.5018845,87.22965431,57.96614361,38.89835835,0.31061127,4.202011883,4.38938117,3.572615981,22.67838335,2.41279915,57.26187038,21.43686724
