plateifu,Classification,log(N/Ha),log(O/Hb)
10001-12701,SFG,-0.560831661,-0.032561326
10001-12702,Passive,-0.28961253,-0.188317245
10001-12703,Unclassified,-0.399115607,-0.347770336
10001-12704,SFG,-0.389115088,-0.3373577
10001-12705,SFG,-0.454192677,-0.643360471
10001-1901,SFG,-0.296846683,-0.37863839
10001-1902,Passive,-0.308189073,0.05455067
10001-3701,Passive,0.031302684,-0.097112798
10001-3702,SFG,-0.350386221,-0.564733019
10001-3703,SFG,-0.323708278,0.138772155
10001-3704,Passive,0.238767442,0.342430657
10001-6101,Passive,0.157160427,-0.144486648
10001-6102,AGN,-0.078364806,0.514925715
10001-6103,Passive,-0.214065927,0.222350304
10001-6104,Unclassified,0.157858752,0.469398624
10001-9101,SFG,-0.540063933,-0.16473547
10001-9102,Passive,0.182720557,0.346477974
10141-12701,SFG,-0.358571757,-0.897575158
10141-12702,SFG,-0.489945161,-0.558892208
10141-12703,SFG,-0.410695999,-0.276984798
10141-12704,SFG,-0.037241066,-0.61443873
10141-12705,SFG,-0.32321185,-1.140544927
10141-9101,SFG,-0.490759,-0.746220988
10141-9102,AGN,0.218711491,-0.792293197
10142-12701,AGN,-0.127940139,0.231783315
10142-12702,SFG,-0.243393973,-0.878649697
10142-12703,SFG,-0.585390603,-1.096347642
10142-12704,SFG,-0.598859448,-0.910683656
10142-12705,SFG,-0.134536104,-0.752929262
10142-9101,SFG,-0.21720803,-0.034020766
10142-9102,Unclassified,-0.408475574,0.423152269
10143-12701,AGN,-0.024000262,0.000427859
10143-12702,SFG,-0.452921289,-0.911602506
10143-12703,SFG,-0.559559823,-0.543179367
10143-12704,SFG,-0.471551367,-0.438773075
10143-12705,SFG,-0.370592492,-0.872678106
10143-9101,SFG,-0.327403281,-0.721343044
10143-9102,Passive,0.00048141,-0.401648719
10144-12701,SFG,-0.306453535,0.320903685
10144-12702,SFG,-0.557567741,0.000490603
10144-12703,SFG,-0.587922925,-1.369275706
10144-12704,SFG,-0.664135054,0.109513593
10144-12705,SFG,-0.447523949,-1.023506078
10144-9101,Passive,0.13787967,0.111258051
10144-9102,Passive,0.129942524,-0.05778492
10145-12701,SFG,-0.445611833,-0.499132884
10145-12702,SFG,-0.302547442,-0.502783576
10145-12703,SFG,-0.271112005,-1.125881471
10145-12704,SFG,-0.181368432,-0.500639866
10145-12705,SFG,-0.349608677,-0.798776601
10145-9101,SFG,-0.318632055,-0.541981387
10145-9102,SFG,-0.174405975,-0.887438545
10146-12701,SFG,-0.034007291,-0.259608955
10146-12702,SFG,-0.282364579,-0.939507805
10146-12703,AGN,-0.431533327,0.561898282
10146-12704,SFG,-0.384095636,0.051299151
10146-12705,AGN,-0.334252055,0.437523585
10146-9101,Passive,-0.201648145,-0.913289484
10146-9102,SFG,-0.524548211,-0.395443687
10147-12701,SFG,-0.324427284,-0.272966741
10147-12702,SFG,0.060006541,-0.30868383
10147-12703,SFG,-0.375277438,-0.377212188
10147-12704,SFG,-0.558716851,-0.794406775
10147-12705,SFG,-0.392670105,0.28455522
10147-9101,SFG,-0.102230915,-0.754581152
10147-9102,SFG,-0.329244322,-0.063490398
10148-12701,AGN,0.082221987,0.487008942
10148-12702,SFG,-0.461859359,-0.554501758
10148-12703,AGN,-0.338905635,0.538335346
10148-12704,SFG,-0.261672533,0.026323492
10148-12705,AGN,-0.079753873,0.281395808
10148-9101,AGN,-0.007787293,-0.074001939
10148-9102,Unclassified,-0.701000016,-0.658283325
10149-12701,SFG,-0.634391521,-0.276441095
10149-12702,SFG,-0.484079245,-0.967552774
10149-12703,SFG,-0.470951316,-0.289143226
10149-12704,SFG,-0.199816046,0.243123987
10149-12705,AGN,0.25429714,2.078639742
10149-9101,SFG,-0.027323233,-0.626491781
10149-9102,Unclassified,0.042623669,-0.318516441
10150-12701,SFG,-0.388129016,-0.687005759
10150-12702,SFG,-0.434213844,-0.112852815
10150-12703,SFG,-0.531100579,-0.445765747
10150-12704,SFG,-0.374164299,0.041658487
10150-12705,SFG,-0.282949677,-0.159335745
10150-9101,AGN,-0.090790564,0.371407392
10150-9102,Passive,-0.26256476,0.041352123
10213-12701,Passive,0.062536329,-0.044036376
10213-12702,Unclassified,-0.549260463,-0.182163809
10213-12703,Passive,-0.519260768,-0.254659412
10213-12704,Passive,0.162014501,-0.054075116
10213-12705,SFG,-0.364022938,-0.470948671
10213-1901,Unclassified,0.084401447,0.230908597
10213-1902,SFG,-0.452393722,-0.565680426
10213-3701,Unclassified,-0.106060945,0.058222946
10213-3703,SFG,-0.444448664,-0.16884673
10213-6101,Passive,-0.502037441,0.229409736
10213-6102,Passive,-0.132524383,-0.122967613
10213-6103,Passive,0.076541029,0.353157251
10213-6104,Passive,0.330552571,0.262246721
10213-9101,SFG,-0.281289378,-0.271892078
10213-9102,Unclassified,-0.847437623,0.084021966
10214-12701,Passive,-0.351166842,-0.221113548
10214-12702,Passive,0.083897545,0.035069491
10214-12703,AGN,0.174797417,0.328423637
10214-12704,Passive,-0.743816054,-0.430844917
10214-12705,Passive,-0.963142766,0.040005605
10214-1901,Passive,0.144865366,0.23778745
10214-1902,SFG,-0.121166092,-0.238387952
10214-3701,SFG,-0.573683134,-0.826385119
10214-3702,AGN,0.100889319,0.15839716
10214-3703,Passive,-0.445859758,-0.368692419
10214-3704,Passive,0.017069522,0.093516793
10214-6101,SFG,-0.6849877,0.144526729
10214-6102,Passive,-0.090154639,-0.488530436
10214-6103,SFG,-0.510036919,-0.119025513
10214-6104,Unclassified,-0.463420884,-0.278165766
10214-9101,Passive,-0.212901994,-0.231682188
10214-9102,Passive,0.449399446,0.881903857
10215-12701,Unclassified,-0.154254247,0.069972295
10215-12702,SFG,-0.514337062,-0.601231199
10215-12703,SFG,-0.570257516,0.006083586
10215-12704,AGN,-0.104808659,0.271021234
10215-12705,Unclassified,-0.288723791,-0.308722738
10215-1901,SFG,-0.375110036,-0.478022027
10215-1902,AGN,-0.034179602,0.27014029
10215-3701,SFG,-0.545843229,-0.188369249
10215-3702,SFG,-0.184278702,0.040423138
10215-3703,AGN,-0.001141661,0.234210963
10215-3704,SFG,-0.31163166,-0.490868607
10215-6101,SFG,-0.34437437,-0.022836552
10215-6102,SFG,-0.66991555,0.157010714
10215-6103,SFG,-0.453352017,-0.624688043
10215-6104,SFG,-0.414895217,-0.364292389
10215-9101,Unclassified,-0.402424001,-0.335608466
10215-9102,Unclassified,-0.000752066,0.130329767
10220-12701,SFG,-0.334006558,-0.336115831
10220-12702,SFG,-0.093257961,-0.028037961
10220-12703,SFG,-0.657494587,-0.069348047
10220-12704,SFG,-0.4382638,-0.486938944
10220-12705,SFG,-0.366147933,-0.227865029
10220-1901,Unclassified,-0.205993182,0.198077291
10220-1902,Passive,0.155642016,0.286749288
10220-3701,SFG,-0.519822198,-0.084925833
10220-3702,Unclassified,-0.033410579,0.110187165
10220-3703,Unclassified,0.272703428,1.039708547
10220-3704,Passive,0.013897167,0.245368004
10220-6101,Passive,-0.072286054,-0.274794795
10220-6102,Unclassified,0.09964282,0.266498569
10220-6103,SFG,-0.169189902,-0.016933997
10220-6104,SFG,-0.346227869,-0.268059645
10220-9101,Unclassified,0.089163514,0.619588117
10220-9102,SFG,-0.794623547,0.205390826
10480-12701,SFG,-0.199381103,-1.165241057
10480-12702,SFG,-0.381482247,-0.412198576
10480-12703,SFG,-0.416062455,-0.009585949
10480-12704,SFG,-0.446494901,-0.6059908
10480-12705,SFG,-0.313971554,0.320742425
10480-9101,Passive,0.047854695,0.905748355
10480-9102,Unclassified,0.026892203,0.692406137
10481-12701,SFG,-0.159477564,0.220938005
10481-12702,SFG,-0.557447967,-1.612598965
10481-12703,SFG,-0.175123527,-0.485832672
10481-12704,Unclassified,0.08151133,0.350086618
10481-12705,SFG,-0.202367742,-0.035523147
10481-9101,Passive,-0.287712451,-0.015330396
10481-9102,SFG,-0.11363204,-0.305181434
10482-12701,AGN,-0.071922284,0.0668828
10482-12702,SFG,-0.447301719,-0.906361656
10482-12703,SFG,-0.272088445,-0.522074746
10482-12704,SFG,-0.04852529,-0.15112264
10482-12705,SFG,-0.366136888,-0.151988098
10482-9101,SFG,-0.332040206,0.328538442
10482-9102,Passive,0.198612701,0.584740995
10483-12701,SFG,-0.512822464,-0.666992763
10483-12702,SFG,-0.378349632,-0.278317154
10483-12703,AGN,0.05240794,0.331089321
10483-12704,SFG,-0.512446624,-0.387019778
