plateifu,log(N/Ha),log(O/Hb),EW(Ha),KL_Calc,comparison,Classification
10001-12701,-0.560831661,-0.032561326,9.668568134,,,
10001-12702,-0.28961253,-0.188317245,1.429980457,0.386959007508736,lower,Passive
10001-12703,-0.399115607,-0.347770336,5.222799778,0.48813710041913894,lower,Unclassified
10001-12704,-0.389115088,-0.3373577,18.1302104,0.47996707365474645,lower,SFG
10001-12705,-0.454192677,-0.643360471,12.08104587,0.5299644736635366,lower,SFG
10001-1901,-0.296846683,-0.37863839,7.70839572,0.3945346044745166,lower,SFG
10001-1902,-0.188275239,0.234302219,0.703120738,0.2633359484603065,lower,Passive
10001-3701,0.134018848,0.074002752,0.269113816,-0.6255780357583869,higher,Passive
10001-3702,-0.350386221,-0.564733019,90.59004211,0.4464477749803649,lower,SFG
10001-3703,-0.323708278,0.138772155,13.61896586,0.42145566588131256,lower,SFG
10001-3704,0.238767442,0.342430657,2.22981149,-1.4480368114078472,higher,Passive
10001-6101,0.157160427,-0.144486648,0.854942665,-0.759881193579049,higher,Passive
10001-6102,-0.078364806,0.514925715,48.88847446,0.07760184219408117,higher,AGN
10001-6103,-0.214065927,0.222350304,1.079094991,0.2982730831585476,lower,Passive
10001-6104,0.157858752,0.469398624,3.228222847,-0.7642434840268213,higher,Unclassified
10001-9101,-0.540063933,-0.16473547,18.41508675,0.5860778322336156,lower,SFG
10001-9102,0.182720557,0.346477974,1.115059614,-0.9333680824144457,higher,Passive
10141-12701,-0.358571757,-0.897575158,3872.768005,0.453793395265342,lower,SFG
10141-12702,-0.489945161,-0.558892208,31.05068334,0.5545470337445662,lower,SFG
10141-12703,-0.410695999,-0.276984798,32.75499511,0.4973659915650417,lower,SFG
10141-12704,-0.037241066,-0.61443873,20.93360583,-0.012584019488674603,lower,SFG
10141-12705,-0.32321185,-1.140544927,11.17187723,0.4209746759330436,lower,SFG
10141-9101,-0.490759,-0.746220988,18.50533104,0.555085312757934,lower,SFG
10141-9102,0.218711491,-0.792293197,9.412748337,-1.2374886361795396,higher,AGN
10142-12701,-0.127940139,0.231783315,141.1631432,0.1698309894027703,higher,AGN
10142-12702,-0.243393973,-0.878649697,53.08060074,0.33493250141321274,lower,SFG
10142-12703,-0.585390603,-1.096347642,402.4755554,0.6120149409459921,lower,SFG
10142-12704,-0.598859448,-0.910683656,23.37222719,0.6192982102170649,lower,SFG
10142-12705,-0.134536104,-0.752929262,17.86821818,0.18096183674747057,lower,SFG
10142-9101,-0.21720803,-0.034020766,59.78502909,0.3023503024258898,lower,SFG
10142-9102,-0.408475574,0.423152269,5.572193384,0.49561529762010204,lower,Unclassified
10143-12701,-0.024000262,0.000427859,89.3913641,-0.04481715886215465,higher,AGN
10143-12702,-0.452921289,-0.911602506,33.50818014,0.5290552290098923,lower,SFG
10143-12703,-0.559559823,-0.543179367,116.4742813,0.5975137875693892,lower,SFG
10143-12704,-0.471551367,-0.438773075,113.1237717,0.5421330631767857,lower,SFG
10143-12705,-0.370592492,-0.872678106,99.3607682,0.4643213794966895,lower,SFG
10143-9101,-0.327403281,-0.721343044,34.92684301,0.4250169424497263,lower,SFG
10143-9102,0.00048141,-0.401648719,2.012337394,-0.10920308373732346,lower,Passive
10144-12701,-0.306453535,0.320903685,34.86252308,0.40437668514188674,lower,SFG
10144-12702,-0.557567741,0.000490603,48.97634888,0.5963651712086979,lower,SFG
10144-12703,-0.587922925,-1.369275706,48.81697083,0.6133984484266658,lower,SFG
10144-12704,-0.664135054,0.109513593,69.82546743,0.6521451846950848,lower,SFG
10144-12705,-0.447523949,-1.023506078,61.61049779,0.5251672175262206,lower,SFG
10144-9101,0.13787967,0.111258051,1.48786811,-0.6466837103889427,higher,Passive
10144-9102,0.129942524,-0.05778492,1.158834435,-0.6038144080090746,higher,Passive
10145-12701,-0.445611833,-0.499132884,689.0536346,0.5237788154164233,lower,SFG
10145-12702,-0.302547442,-0.502783576,32.65068054,0.40040447895237485,lower,SFG
10145-12703,-0.271112005,-1.125881471,12.84330241,0.36691253699229975,lower,SFG
10145-12704,-0.181368432,-0.500639866,13.66676903,0.25351003513169934,lower,SFG
10145-12705,-0.349608677,-0.798776601,58.37672806,0.4457423839962591,lower,SFG
10145-9101,-0.318632055,-0.541981387,19.94312912,0.4165087424071292,lower,SFG
10145-9102,-0.174405975,-0.887438545,9.576506019,0.243391769062973,lower,SFG
10146-12701,-0.034007291,-0.259608955,61.16772079,-0.020299951791769022,lower,SFG
10146-12702,-0.282364579,-0.939507805,12.41926257,0.3792228621251984,lower,SFG
10146-12703,-0.431533327,0.561898282,19.56825089,0.5133749860031519,higher,AGN
10146-12704,-0.384095636,0.051299151,36.42011642,0.4757942667207352,lower,SFG
10146-12705,-0.334252055,0.437523585,49.09464391,0.4315313132149845,higher,AGN
10146-9101,-0.201648145,-0.913289484,2.361412287,0.28178636978145755,lower,Passive
10146-9102,-0.524548211,-0.395443687,28.39750926,0.576656178902925,lower,SFG
10147-12701,-0.324427284,-0.272966741,109.0420265,0.4221512462051844,lower,SFG
10147-12702,0.060006541,-0.30868383,7.290999413,-0.2978286143584552,lower,SFG
10147-12703,-0.375277438,-0.377212188,83.21434784,0.468343449644991,lower,SFG
10147-12704,-0.558716851,-0.794406775,187.9031576,0.5970282805156459,lower,SFG
10147-12705,-0.392670105,0.28455522,6.765631358,0.482893081069501,lower,SFG
10147-9101,-0.102230915,-0.754581152,15.90057898,0.12399677645867846,lower,SFG
10147-9102,-0.329244322,-0.063490398,8.396541913,0.42677906341135063,lower,SFG
10148-12701,0.082221987,0.487008942,22.26538595,-0.38306494837292404,higher,AGN
10148-12702,-0.461859359,-0.554501758,60.75208028,0.5353947807589706,lower,SFG
10148-12703,-0.338905635,0.538335346,60.62102127,0.4358947328262831,higher,AGN
10148-12704,-0.261672533,0.026323492,55.34289805,0.3562937004087319,lower,SFG
10148-12705,-0.079753873,0.281395808,16.28926468,0.08041254648878104,higher,AGN
10148-9101,-0.007787293,-0.074001939,20.16178656,-0.08671875945013907,higher,AGN
10148-9102,-0.701000016,-0.658283325,5.037323564,0.6690777184754537,lower,Unclassified
10149-12701,-0.634391521,-0.276441095,416.6418915,0.6376596493174271,lower,SFG
10149-12702,-0.484079245,-0.967552774,78.2013677,0.5506401111890867,lower,SFG
10149-12703,-0.470951316,-0.289143226,119.2250621,0.5417199140619513,lower,SFG
10149-12704,-0.199816046,0.243123987,41.69167455,0.27930219924889643,lower,SFG
10149-12705,0.25429714,2.078639742,23.01020559,-1.6379643580061942,higher,AGN
10149-9101,-0.027323233,-0.626491781,27.50024366,-0.036566465275110316,lower,SFG
10149-9102,0.042623669,-0.318516441,4.108692557,-0.23731348404972885,lower,Unclassified
10150-12701,-0.388129016,-0.687005759,198.3654989,0.47915117817202435,lower,SFG
10150-12702,-0.434213844,-0.112852815,29.01069387,0.5153808221940915,lower,SFG
10150-12703,-0.531100579,-0.445765747,151.757075,0.5806706151250762,lower,SFG
10150-12704,-0.374164299,0.041658487,45.74002886,0.46739185283882745,lower,SFG
10150-12705,-0.282949677,-0.159335745,60.60301208,0.3798528963709217,lower,SFG
10150-9101,-0.090790564,0.371407392,55.2194134,0.10224988585934902,higher,AGN
10150-9102,-0.26256476,0.041352123,1.379594192,0.3573091127124379,lower,Passive
10213-12701,0.062536329,-0.044036376,0.817785963,-0.30706598014722175,higher,Passive
10213-12702,-0.549260463,-0.182163809,4.316710055,0.591526869584855,lower,Unclassified
